번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
58,"50Ω의 계자저항을 갖는 직류 분권발전기가 있다. 이 발전기 의 출력이 5.4kW 일 때 단자전압은 100V, 유기기전력은 115V이다. 이 발전기의 출력이 2kW 일 때 단자전압이 125V라면 유기기전력은 약 몇 V인가?",130,145,152,159,1,text,
59,"돌극형 동기발전기에서 직축 동기리액턴스를 X , 횡축 동기 d 리액턴스를 X 라 할 때의 관계는? q",X ＜ X,X ＞ X d q d q,X = X,X 《 X d q d q,2,text,
60,10극 50Hz 3상 유도전동기가 있다. 회전자도 3상이고 회전 자가 정지할 때 2차 1상간의 전압이 150V이다. 이것을 회전 자계와 같은 방향으로 400rpm으로 회전시킬 때 2차 전압은 몇 V인가?,50,75,100,150 4과목 : 회로이론 및 제어공학,1,text,
61,다음의 회로를 블록선도로 그리는 것 중 옳은 것은?,,,,,1,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q061.png
62,특성방정식 s2+2ζω s+ω2 =0에서 감쇠진동을 하는 제동비 ζ n n 의 값은?,ζ ＞ 1,ζ = 1,ζ = 0,0 ＜ ζ ＜ 1,4,text,
63,다음 그림의 전달함수 Y(z)/R(z)는 다음 중 어느 것인가?,G(z)z,G(z)z-1,G(z)Tz-1,G(z)Tz,2,text,
64,일정 입력에 대해 잔류편차가 있는 제어계는?,비례 제어계,적분 제어계,비례 적분 제어계,비례 적분 미분 제어계,1,text,
65,일반적인 제어시스템에서 안정의 조건은?,입력이 있는 경우 초기값에 관계없이 출력이 0으로 간 다.,입력이 없는 경우 초기값에 관계없이 출력이 무한대로 간다.,시스템이 유한한 입력에 대해서 무한한 출력을 얻는 경 전기기사 2018년 08월 19일 필기 기출문제 우,시스템이 유한한 입력에 대해서 유한한 출력을 얻는 경 우,4,text,
66,개루프 전달함수 G(s)H(s)가 다음과 같이 주어지는 부궤 환 계에서 근궤적 점근선의 실수축과 교차점은?,0,-1,-2,-3,4,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q066.png
67,s3+11s2+2s+40=0 에는 양의 실수부를 갖는 근은 몇개 있는 가?,1,2,3,없다.,2,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q067.png
68,논리식 를 간략화한 것은?,x + y,,,,2,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q068.png
69,그림과 같은 블록선도에서 전달함수 C(s)/R(s)를 구하면?,1/8,5/28,28/5,8,3,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q069.png
70,에 있어서 진폭 A 및 위상각 θ는?,"A=0, θ=-90°","A=0, θ=-180°","A=∞, θ=-90°","A=∞, θ=-180°",2,text,
71,"R=100Ω, C=30㎌의 직렬회로에 f=60Hz, V=100V의 교류전 압을 인가할 때 전류는 약 몇 A 인가?",0.42,0.64,0.75,0.87,3,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q071.png
72,무손실 선로의 정상상태에 대한 설명으로 틀린 것은?,전파정수 γ은 이다.,특성 임피던스 이다.,진행파의 전파속도 이다.,"감쇠정수 α=0, 위상정수 이다.",2,text,
73,그림과 같은 파형의 Laplace 변환은?,,,,,4,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q073.png
74,"2전력계법으로 평형 3상 전력을 측정하였더니 한쪽의 지시 가 700W, 다른 쪽의 지시가 1400W 이었다. 피상전력은 약 몇 VA 인가?",2425,2771,2873,2974,1,text,
75,최대값이 I 인 정현파 교류의 반파정류 파형의 실효값은? m,I / 2,I / √2 m m,2I / π,πI / 2 m m,1,text,
76,그림과 같은 파형의 파고율은?,1,1 / √2,√2,√3,3,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q076.png
77,"그림과 같이 10Ω의 저항에 권수비가 10:1의 결합회로를 연 결했을 때 4단자 정수 A, B, C, D는? 전기기사 2018년 08월 19일 필기 기출문제","A=1, B=10, C=0, D=10","A=10, B=1, C=0, D=10","A=10, B=0, C=1, D=1/10","A=10, B=1, C=0, D=1/10",4,text,
78,"그림과 같은 RC 회로에서 스위치를 넣은 순간 전류는? (단, 초기조건은 0이다.)",불변전류이다.,진동전류이다.,증가함수로 나타난다.,감쇠함수로 나타난다.,4,text,
79,회로에서 저항 R에 흐르는 전류 I(A)는?,-1,-2,2,4,2,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q079.png
80,"전류의 대칭분을 I , I , I , 유기기전력을 E , E , E , 단자전",,,,,3,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q080.png
