번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
12,"한 변의 길이가 4m인 정사각형의 루프에 1A의 전류가 흐 를 때, 중심점에서의 자속밀도 B는 약 몇 Wb/m2인가?",2.83×10-7,5.65×10-7,11.31×10-7,14.14×10-7,1,text,
13,비투자율이 350인 환상철심 내부의 평균 자계의 세기가 342AT/m일 때 자화의 세기는 약 몇 Wb/m2인가?,0.12,0.15,0.18,0.21,2,text,
14,전계 (V/m) 의 평 면 전자파가 있다. 진공 중에서 자계의 실효값은 몇 A/m 인가?,,,,,3,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q014.png
15,"공기 중에서 반지름 0.03m의 구도체에 줄 수 있는 최대 전하는 약 몇 C인가? (단, 이 구도체의 주위 공기에 대한 절연내력은 5×106V/m이다.)",5×10-7,2×10-6,5×10-5,2×10-4,1,text,
16,공기 중에서 전자기파의 파장이 3m라면 그 주파수는 몇 MHz인가?,100,300,1000,3000,1,text,
17,"두 종류의 유전율(ɛ , ɛ )을 가진 유전체가 서로 접하고 있",,,,,4,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q017.png
18,공기 중에 있는 반지름 a(m)의 독립 금속구의 정전용량은 몇 F인가? ① 2πɛ a ② 4πɛ a,,,,,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q018.png
19,"자속밀도가 10Wb/m2인 자계 중에 10cm 도체를 자계와 60°의 각도로 30m/s로 움직일 때, 이 도체에 유기되는 기 전력은 몇 V인가?",15,15√3,1500,1500√3,2,text,
20,"원점에 1μC의 점전하가 있을 때 점 P(2, -2, 4)m에서의 전계의 세기에 대한 단위벡터는 약 얼마인가?",0.41a -0.41a +0.8a,-0.33a +0.33a -0.6a x y z x y z,-0.41a +0.41a -0.8a,0.33a -0.33a +0.6a x y z x y z 2과목 : 전력공학,1,text,
21,가공송전선로에서 총 단면적이 같은 경우 단도체와 비교하 여 복도체의 장점이 아닌 것은?,안정도를 증대시킬 수 있다.,공사비가 저렴하고 시공이 간편하다.,전선표면의 전위경도를 감소시켜 코로나 임계전압이 높 아진다.,선로의 인덕턴스가 감소되고 정전용량이 증가해서 송전 용량이 증대된다.,2,text,
22,"역률 0.8(지상)의 2800kW 부하에 전력용 콘덴서를 병렬로 접속하여 합성역률을 0.9로 개선하고자 할 경우, 필요한 전력용 콘덴서의 용량(kVA)은 약 얼마인가?",372,558,744,1116,3,text,
23,컴퓨터에 의한 전력조류 계산에서 슬랙(slack)모선의 초기 치로 지정하는 값은?,유효 전력과 무효 전력,전압 크기와 유효 전력,전압 크기와 위상각,전압 크기와 무효 전력,3,text,
24,3상용 차단기의 정격 차단 용량은?,√3×정격 전압×정격 차단 전류,3√3×정격 전압×정격 전류,3×정격 전압×정격 차단 전류,√3×정격 전압×정격 전류,1,text,
25,증기터빈내에서 팽창 도중에 있는 증기를 일부 추기하여 그것이 갖는 열을 급수가열에 이용하는 열사이클은?,랭킨사이클,카르노사이클,재생사이클,재열사이클,3,text,
26,부하전류 차단이 불가능한 전력개폐 장치는?,진공차단기,유입차단기,단로기,가스차단기,3,text,
27,전력계통에서 내부 이상전압의 크기가 가장 큰 경우는?,유도성 소전류 차단 시,수차발전기의 부하 차단 시,무부하 선로 충전전류 차단 시,송전선로의 부하 차단기 투입 시,3,text,
28,"그림과 같은 송전계통에서 S점에 3상 단락사고가 발생했 을 때 단락전류(A)는 약 얼마인가? (단, 선로의 길이와 리 액턴스는 각각 50㎞, 0.6Ω/㎞이다.)",224,324,454,554,4,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q028.png
29,저압배전선로에 대한 설명으로 틀린 것은?,저압 뱅킹 방식은 전압변동을 경감할 수 있다.,밸런서(balancer)는 단상 2선식에 필요하다.,부하율(F)와 손실계수(H) 사이에는 1≥F≥H≥F2≥0의 관 계가 있다.,수용률이란 최대수용전력을 설비용량으로 나눈 값을 퍼 센트로 나타낸 것이다.,2,text,
30,망상(network)배전방식의 장점이 아닌 것은?,전압변동이 적다.,인축의 접지사고가 적어진다.,부하의 증가에 대한 융통성이 크다.,무정전 공급이 가능하다.,2,text,
31,"500kVA의 단상 변압기 상용 3대(결선 △-△), 예비 1대를 갖는 변전소가 있다. 부하의 증가로 인하여 예비 변압기까 지 동원해서 사용한다면 응할 수 있는 최대부하(kVA)는 약 얼마인가? 전기기사 2021년 05월 15일 필기 기출문제",2000,1730,1500,830,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q031.png
32,직격뢰에 대한 방호설비로 가장 적당한 것은?,복도체,가공지선,서지흡수기,정전방지기,2,text,
33,"최대수용전력이 3kW인 수용가가 3세대, 5kW인 수용가가 6세대라고 할 때, 이 수용가군에 전력을 공급할 수 있는 주상변압기의 최소 용량(kVA)은? (단, 역률은 1, 수용가간 의 부등률은 1.3이다.)",25,30,35,40,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q033.png
34,배전용 변전소의 주변압기로 주로 사용되는 것은?,강압 변압기,체승 변압기,단권 변압기,3권선 변압기,1,text,
35,비등수형 원자로의 특징에 대한 설명으로 틀린 것은?,증기 발생기가 필요하다.,저농축 우라늄을 연료로 사용한다.,노심에서 비등을 일으킨 증기가 직접 터빈에 공급되는 방식이다.,가압수형 원자로에 비해 출력밀도가 낮다.,1,text,
36,"송전단 전압을 V , 수전단 전압을 V , 선로의 리액턴스를 X s r 라 할 때, 정상 시의 최대 송전전력의 개략적인 값은?",,,,,4,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q036.png
37,"3상 3선식 송전선로에서 각 선의 대지정전용량이 0.5096 ㎌이고, 선간정전용량이 0.1295㎌일 때, 1선의 작용정전용 량은 약 몇 ㎌인가?",0.6,0.9,1.2,1.8,2,text,
38,전력계통의 전압을 조정하는 가장 보편적인 방법은?,발전기의 유효전력 조정,부하의 유효전력 조정,계통의 주파수 조정,계통의 무효전력 조정,4,text,
39,"선로, 기기 등의 절연 수준 저감 및 전력용 변압기의 단절 연을 모두 행할 수 있는 중성점 접지방식은?",직접접지방식,소호리액터접지방식,고저항접지방식,비접지방식,1,text,
40,단상 2선식 배전선로의 말단에 지상역률 cosθ인 부하 P(kW)가 접속되어 있고 선로말단의 전압은 V(V)이다. 선 로 한 가닥의 저항을 R(Ω)이라 할 때 송전단의 공급전력 (kW)은?,,,,3과목 : 전기기기,4,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q040.png
41,"부하전류가 크지 않을 때 직류 직권전동기 발생 토크는? (단, 자기회로가 불포화인 경우이다.)",전류에 비례한다.,전류에 반비례한다.,전류의 제곱에 비례한다.,전류의 제곱에 반비례한다.,3,text,
42,동기발전기의 병렬운전 조건에서 같지 않아도 되는 것은?,기전력의 용량,기전력의 위상,기전력의 크기,기전력의 주파수,1,text,
43,다이오드를 사용하는 정류회로에서 과대한 부하전류로 인 하여 다이오드가 소손될 우려가 있을 때 가장 적절한 조치 는 어느 것인가?,다이오드를 병렬로 추가한다.,다이오드를 직렬로 추가한다.,다이오드 양단에 적당한 값의 저항을 추가한다.,다이오드 양단에 적당한 값의 커패시터를 추가한다.,1,text,
44,변압기의 권수를 N이라고 할 때 누설리액턴스는?,N에 비례한다.,N2에 비례한다.,N에 반비례한다.,N2에 반비례한다.,2,text,
45,"50Hz, 12극의 3상 유도전동기가 10HP의 정격출력을 내고 있을 때, 회전수는 약 몇 rpm인가? (단, 회전자 동손은 350W이고, 회전자 입력은 회전자 동손과 정격 출력의 합 이다.)",468,478,488,500,2,text,
46,"8극, 900rpm 동기발전기와 병렬 운전하는 6극 동기발전기 의 회전수는 몇 rpm 인가?",900,1000,1200,1400,3,text,
47,극수가 4극이고 전기자권선이 단중 중권인 직류발전기의 전기자전류가 40A이면 전기자권선의 각 병렬회로에 흐르 는 전류(A)는?,4,6,8,10,4,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q047.png
48,변압기에서 생기는 철손 중 와류손(Eddy Current Loss)은 철심의 규소강판 두께와 어떤 관계에 있는가?,두께에 비례,두께의 2승에 비례,두께의 3승에 비례,두께의 1/2승에 비례,2,text,
49,2전동기설에 의하여 단상 유도전동기의 가상적 2개의 회 전자 중 정방향에 회전하는 회전자 슬립이 s이면 역방향 에 회전하는 가상적 회전자의 슬립은 어떻게 표시되는가?,1+s,1-s,2-s,3-s 전기기사 2021년 05월 15일 필기 기출문제,3,text,
50,"어떤 직류전동기가 역기전력 200V, 매분 1200회전으로 토 크 158.76Nㆍm를 발생하고 있을 때의 전기자 전류는 약 몇 A 인가? (단, 기계손 및 철손은 무시한다.)",90,95,100,105,3,text,
51,와전류 손실을 패러데이 법칙으로 설명한 과정 중 틀린 것 은?,와전류가 철심 내에 흘러 발열 발생,유도기전력 발생으로 철심에 와전류가 흐름,와전류 에너지 손실량은 전류밀도에 반비례,시변 자속으로 강자성체 철심에 유도기전력 발생,3,text,
52,"동기발전기에서 동기속도와 극수와의 관계를 옳게 표시한 것은? (단, N:동기속도, P:극수이다.)",,,,,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q052.png
53,일반적인 DC 서보모터의 제어에 속하지 않는 것은?,역률제어,토크제어,속도제어,위치제어,1,text,
54,변압기 단락시험에서 변압기의 임피던스 전압이란?,1차 전류가 여자전류에 도달했을 때의 2차측 단자전압,1차 전류가 정격전류에 도달했을 때의 2차측 단자전압,1차 전류가 정격전류에 도달했을 때의 변압기 내의 전 압강하,1차 전류가 2차 단락전류에 도달했을 때의 변압기 내 의 전압강하,3,text,
55,변압기의 주요 시험항목 중 전압변동률 계산에 필요한 수 치를 얻기 위한 필수적인 시험은?,단락시험,내전압시험,변압비시험,온도상승시험,1,text,
56,단상 정류자전동기의 일종인 단상 반발전동기에 해당되는 것은?,시라게전동기,반발유도전동기,아트킨손형전동기,단상 직권 정류자전동기,3,text,
57,"3상 농형 유도전동기의 전전압 기동토크는 전부하토크의 1.8배이다. 이 전동기에 기동보상기를 사용하여 기동전압 을 전전압의 2/3로 낮추어 기동하면, 기동토크는 전부하토 크 T와 어떤 관계인가?",3.0T,0.8T,0.6T,0.3T,2,text,
58,"부스트(Boost)컨버터의 입력전압이 45V로 일정하고, 스위 칭 주기가 20kHz, 듀티비(Duty ratio)가 0.6, 부하저항이 10Ω일 때 출력전압은 몇 V 인가? (단, 인덕터에는 일정한 전류가 흐르고 커패시터 출력전압의 리플성분은 무시한 다.)",27,67.5,75,112.5,4,text,
59,동기전동기에 대한 설명으로 틀린 것은?,동기전동기는 주로 회전계자형이다.,동기전동기는 무효전력을 공급할 수 있다.,동기전동기는 제동권선을 이용한 기동법이 일반적으로 많이 사용된다.,3상 동기전동기의 회전방향을 바꾸려면 계자권선 전류 의 방향을 반대로 한다.,4,text,
60,"10kW, 3상, 380V 유도전동기의 전부하 전류는 약 몇 A 인가? (단, 전동기의 효율은 85%, 역률은 85%이다.)",15,21,26,36 4과목 : 회로이론 및 제어공학,2,text,
61,"그림의 블록선도와 같이 표현되는 제어시스템에서 A=1, B=1일 때, 블록선도의 출력 C는 약 얼마인가?",0.22,0.33,1.22,3.1,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q061.png
62,제어요소가 제어대상에 주는 양은?,동작신호,조작량,제어량,궤환량,2,text,
63,"다음과 같은 상태방정식으로 표현되는 제어시스템의 특성 방정식의 근(s , s )은?",,,,,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q063.png
64,전달함수가 인 제어기가 있 전기기사 2021년 05월 15일 필기 기출문제 다. 이 제어기는 어떤 제어기인가?,비례 미분 제어기,적분 제어기,비례 적분 제어기,비례 미분 적분 제어기,4,text,
65,"제어시스템의 주파수 전달함수가 G(jw)=j5w이고, 주파수가 w=0.02rad/sec일 때 이 제어시스템의 이득(dB)은?",20,10,-10,-20,4,text,
66,전달함수가 인 제어시스템의 과도 응답 특성은?,무제동,부족제동,임계제동,과제동,4,text,
67,그림과 같은 제어시스템이 안정하기 위한 k의 범위는?,k＞0,k＞1,0＜k＜1,0＜k＜2,4,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q067.png
68,그림과 같은 제어시스템의 폐루프 전달함수 에 대한 감도 는?,0.5,1,G/1+GH,-GH/1+GH,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q068.png
69,함수 f(t)=e-at의 z변환 함수 F(z)는?,2z/(z-eaT),1/(z+eaT),z/(z+e-aT),z/(z-e-aT),4,text,
70,다음 논리회로의 출력 Y는?,A,B,A+B,AㆍB,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q070.png
71,회로에서 저항 1Ω에 흐르는 전류 I(A)는?,3,2,1,-1,3,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q071.png
72,그림과 같은 평형 3상회로에서 전원 전압이 V =200(V)이 ab 고 부하 한상의 임피던스가 Z=4+j3(Ω)인 경우 전원과 부 하사이 선전류 I 는 약 몇 A인가? a,40√3∠36.87°,40√3∠-36.87°,40√3∠66.87°,40√3∠-66.87°,4,text,
73,전압 v(t)=14.14sinωt+7.07sin(3ωt+π/6)(V)의 실효값은 약 몇 V인가?,3.87,11.2,15.8,21.2,2,text,
74,"그림 (a)와 같은 회로에 대한 구동점 임피던스의 극점과 영점이 각각 그림 (b)에 나타낸 것과 같고 Z(0)=1일 때, 이 회로에서 R(Ω), L(H), C(F)의 값은?","R=1.0Ω, L=0.1H, C=0.0235F","R=1.0Ω, L=0.2H, C=1.0F 전기기사 2021년 05월 15일 필기 기출문제","R=2.0Ω, L=0.1H, C=0.0235F","R=2.0Ω, L=0.2H, C=1.0F",1,text,
75,파형이 톱니파인 경우 파형률은 약 얼마인가?,1.155,1.732,1.414,0.577,1,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q075.png
76,정상상태에서 t=0초인 순간에 스위치 S를 열었다. 이 때 흐르는 전류 i(t)는?,,,,,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q076.png
77,"무한장 무손실 전송선로의 임의의 위치에서 전압이 100V 이었다. 이 선로의 인덕턴스가 7.5μH/m이고, 커패시턴스 가 0.012㎌/m일 때 이 위치에서 전류(A)는?",2,4,6,8,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q077.png
78,"선간전압이 150V, 선전류가 10√3A, 역률이 80%인 평형 3 상 유도성 부하로 공급되는 무효전력(var)은?",3600,3000,2700,1800,3,text,
79,그림과 같은 함수의 라플라스 변환은?,,,,,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q079.png
80,"상의 순서가 a-b-c인 불평형 3상 전류가 I =15+j2(A), a I =-20-j14(A), I =-3+j10(A)일 때 영상분 전류 I 는 약 몇 b c 0 A인가?",2.67+j0.38,2.02+j6.98,15.5-j3.56,-2.67-j0.67 5과목 : 전기설비기술기준 및 판단기준,4,text,
