번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
13,2장의 무한 평판 도체를 4cm의 간격으로 놓은 후 평판 도 체 간에 일정한 전계를 인가하였더니 평판 도체 표면에 2μ C/m2의 전하밀도가 생겼다. 이 때 평행 도체 표면에 작용하 는 정전응력은 약 몇 N/m2 인가?,0.057,0.226,0.57,2.26,2,text,
14,"자성체 내의 자계의 세기가 H(AT/m)이고 자속밀도가 B(Wb/m2)일 때, 자계 에너지 밀도(J/m3)는? 전기기사 2020년 08월 22일 필기 기출문제",HB,,,,4,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q014.png
15,임의의 방향으로 배열되었던 강자성체의 자구가 외부 자기 장의 힘이 일정치 이상이 되는 순간에 급격히 회전하여 자 기장의 방향으로 배열되고 자속밀도가 증가하는 현상을 무 엇이라 하는가?,자기여효(magnetic aftereffect),바크하우젠 효과(Barkhausen effect),자기왜현상(magneto-striction effect),핀치 효과(Pinch effect),2,text,
16,"반지름이 5mm, 길이가 15mm, 비투자율이 50인 자성체 막 대에 코일을 감고 전류를 흘려서 자성체 내의 자속밀도를",,,,,3,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q016.png
17,반지름이 30cm인 원판 전극의 평행판 콘덴서가 있다. 전극 의 간격이 0.1cm 이며 전극 사이 유전체의 비유전율이 4.0 이라 한다. 이 콘덴서의 정전용량은 약 몇 μF 인가?,0.01,0.02,0.03,0.04,1,text,
18,한 변의 길이가 l(m)인 정사각형 도체 회로에 전류 I(A)를 흘릴 때 회로의 중심점에서의 자계의 세기는 몇 AT/m 인 가?,,,,,4,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q018.png
19,"정전용량이 각각 C =1μF, C =2μF인 도체에 전하 Q =-5μ",,,,,1,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q019.png
20,정전용량이 0.03μF인 평행판 공기 콘덴서의 두 극판 사이에 절반 두께의 비유전율 10인 유리판을 극판과 평행하게 넣었 다면 이 콘덴서의 정전용량은 약 몇 μF이 되는가?,1.83,18.3,0.055,0.55 2과목 : 전력공학,3,text,
21,"3상 전원에 접속된 △결선의 커패시터를 Y결선으로 바꾸면 진상 용량 Q (kVA)는? (단, Q 는 △결선된 커패시터의 진 Y △ 상 용량이고, Q 는 Y결선된 커패시터의 진상 용량이다.) Y",Q = √3 Q,Y △,Q = 3 Q,Y △,2,text,
22,교류 배전선로에서 전압강하 계산식은 V = k(Rcosθ+Xsin d θ)I로 표현된다. 3상 3선식 배전선로인 경우에 k는?,√3,√2,3,2,1,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q022.png
23,송전선에서 뇌격에 대한 차폐 등을 위해 가선하는 가공지선 에 대한 설명으로 옳은 것은?,차폐각은 보통 15~30°정도로 하고 있다.,차폐각이 클수록 벼락에 대한 차폐효과가 크다.,가공지선을 2선으로 하면 차폐각이 적어진다.,가공지선으로는 연동선을 주로 사용한다.,3,text,
24,배전선의 전력손실 경감 대책이 아닌 것은?,다중접지 방식을 채용한다.,역률을 개선한다.,배전 전압을 높인다.,부하의 불평형을 방지한다.,1,text,
25,그림과 같은 이상 변압기에서 2차 측에 5Ω의 저항부하를 연결하였을 때 1차 측에 흐르는 전류(I)는 약 몇 A 인가?,0.6,1.8,20,660,1,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q025.png
26,전압과 유효전력이 일정할 경우 부하 역률이 70%인 선로에 서의 저항 손실(P )은 역률이 90%인 선로에서의 저항 손 70% 실(P )과 비교하면 약 얼마인가? 90%,P = 0.6P,P = 1.7P 70% 90% 70% 90%,P = 0.3P,P = 2.7P 70% 90% 70% 90%,2,text,
27,"3상 3선식 송전선에서 L을 작용 인턱턴스라 하고, L 및 L e m 은 대지를 귀로로 하는 1선의 자기 인덕턴스 및 상호 인덕 턴스라고 할 때 이들 사이의 관계식은?",L = L - L,L = L - L m e e m,L = L + L,L = L /L m e m e,2,text,
28,표피효과에 대한 설명으로 옳은 것은?,표피효과는 주파수에 비례한다.,표피효과는 전선의 단면적에 반비례한다.,표피효과는 전선의 비투자율에 반비례한다.,표피효과는 전선의 도전율에 반비례한다.,1,text,
29,"배전선로의 전압을 3kV에서 6kV로 승압하면 전압강하율(δ) 전기기사 2020년 08월 22일 필기 기출문제 은 어떻게 되는가? (단, δ 는 전압이 3kV일 때 전압강하율 3kV 이고, δ 는 전압이 6kV일 때 전압강하율이고, 부하는 일정 6kV 하다고 한다.)",,,δ = 2δ,δ = 4δ 6kV 3kV 6kV 3kV,2,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q029.png
30,계통의 안정도 증진대책이 아닌 것은?,발전기나 변압기의 리액턴스를 작게 한다.,선로의 회선수를 감소시킨다.,중간 조상 방식을 채용한다.,고속도 재폐로 방식을 채용한다.,2,text,
31,"1상의 대지 정전용량이 0.5㎌, 주파수가 60Hz인 3상 송전 선이 있다. 이 선로에 소호리액터를 설치한다면, 소호리액터 의 공진 리액턴스는 약 몇 Ω이면 되는가?",970,1370,1770,3570,3,text,
32,배전선로의 고장 또는 보수 점검 시 정전구간을 축소하기 위하여 사용되는 것은?,단로기,컷아웃스위치,계자저항기,구분개폐기,4,text,
33,수전단 전력 원선도의 전력 방정식이 P 2+(Q +400)2=250000으로 표현되는 전력계통에서 가능한 r r 최대로 공급할 수 있는 부하전력(P )과 이때 전압을 일정하 r 게 유지하는데 필요한 무효전력(Q )은 각각 얼마인가? r,"P = 500, Q = -400","P = 400, Q = 500 r r r r","P = 300, Q = 100","P = 200, Q = -300 r r r r",1,text,
34,수전용 변전설비의 1차측 차단기의 차단용량은 주로 어느 것에 의하여 정해지는가?,수전 계약용량,부하설비의 단락용량,공급측 전원의 단락용량,수전전력의 역률과 부하율,3,text,
35,"프란시스 수차의 특유속도(m·kW)의 한계를 나타내는 식은? (단, H(m)는 유효낙차이다.)",,,,,4,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q035.png
36,"정격전압 6600V, Y결선, 3상 발전기의 중성점을 1선 지락 시 지락전류를 100A로 제한하는 저항기로 접지하려고 한다. 저항기의 저항 값은 약 몇 Ω 인가?",44,41,38,35,3,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q036.png
37,송전 철탑에서 역섬락을 방지하기 위한 대책은?,가공지선의 설치,탑각 접지저항의 감소,전력선의 연가,아크혼의 설치,2,text,
38,조속기의 폐쇄시간이 짧을수록 나타나는 현상으로 옳은 것 은?,수격작용은 작아진다.,발전기의 전압 상승률은 커진다.,수차의 속도 변동률은 작아진다.,수압관 내의 수압 상승률은 작아진다.,3,text,
39,주변압기 등에서 발생하는 제5고조파를 줄이는 방법으로 옳 은 것은?,전력용 콘덴서에 직렬리액터를 연결한다.,변압기 2차측에 분로리액터를 연결한다.,모선에 방전코일을 연결한다.,모선에 공심 리액터를 연결한다.,1,text,
40,복도체에서 2본의 전선이 서로 충돌하는 것을 방지하기 위 하여 2본의 전선 사이에 적당한 간격을 두어 설치하는 것 은?,아모로드,댐퍼,아킹혼,스페이서 3과목 : 전기기기,4,text,
41,"정격전압 120V, 60Hz인 변압기의 무부하 입력 80W, 무부 하 전류 1.4A 이다. 이 변압기의 여자 리액턴스는 약 몇 Ω 인가?",97.6,103.7,124.7,180,1,text,
42,서보모터의 특징에 대한 설명으로 틀린 것은?,"발생토크는 입력신호에 비례하고, 그 비가 클 것",직류 서보모터에 비하여 교류 서보모터의 시동 토크가 매우 클 것,"시동 토크는 크나 회전부의 관성모멘트가 작고, 전기력 시정수가 짧을 것","빈번한 시동, 정지, 역전 등의 가혹한 상태에 견디도록 견고하고, 큰 돌입전류에 견딜 것",2,text,
43,"3상 변압기 2차측의 E 상만을 반대로 하고, Y-Y 결선을 W 한 경우, 2차 상전압이 E = 70V, E = 70V, E = 70V 라 U V W 면 2차 선간전압은 약 몇 V 인가?","V = 121.2V, V = 70V, V = 70V U-V V-W W-U","V = 121.2V, V = 210V, V = 70V U-V V-W W-U","V = 121.2V, V = 121.2V, V = 70V U-V V-W W-U","V = 121.2V, V = 121.2V, V = 121.2V U-V V-W W-U",1,text,
44,"극수 8, 중권 직류기의 전기자 총 도체 수 960, 매극 자속 0.04Wb, 회전수 400 rpm 이라면 유기기전력은 몇 V 인가?",256,327,425,625,1,text,
45,3상 유도전동기에서 2차측 저항을 2배로 하면 그 최대토크 는 어떻게 변하는가?,2배로 커진다.,3배로 커진다.,변하지 않는다.,√2배로 커진다.,3,text,
46,"동기전동기에 일정한 부하를 걸고 계자전류를 0A에서부터 계속 증가시킬 때 관련 설명으로 옳은 것은? (단, I 는 전기 a 전기기사 2020년 08월 22일 필기 기출문제 자전류이다.)",I 는 증가하다가 감소한다. a,I 가 최소일 때 역률이 1 이다. a,I 가 감소상태일 때 앞선 역률이다. a,I 가 증가상태일 때 뒤진 역률이다. a,2,text,
47,"3kVA, 3000/200V의 변압기의 단락시험에서 임피던스전압 120V, 동손 150W라 하면 %저항 강하는 몇 % 인가?",1,3,5,7,3,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q047.png
48,"정격출력 50kW, 4극 220V, 60Hz인 3상 유도전동기가 전부 하 슬립 0.04, 효율 90%로 운전되고 있을 때 다음 중 틀린 것은?",2차 효율 = 92%,1차 입력 = 55.56 kW,회전자 동손 = 2.08 kW,회전자 입력 = 52.08 kW,1,text,
49,"단상 유도전동기를 2전동기설로 설명하는 경우 정방향 회전 자계의 슬립이 0.2이면, 역방향 회전자계의 슬립은 얼마인 가?",0.2,0.8,1.8,2.0,3,text,
50,Wb/m2으로 하였을 때 자성체 내에서의 자계의 세기는 몇 A/m 인가?,107/π,107/2π,107/4π,107/8π,4,text,
51,동기발전기를 병렬운전 하는데 필요하지 않은 조건은?,기전력의 용량이 같을 것,기전력의 파형이 같을 것,기전력의 크기가 같을 것,기전력의 주파수가 같을 것,1,text,
52,IGBT(Insulated Gate Bipolar Transistor)에 대한 설명으로 틀린 것은?,MOSFET와 같이 전압제어 소자이다.,GTO 사이리스터와 같이 역방향 전압저지 특성을 갖는 다.,게이트와 에미터 사이의 입력 임피던스가 매우 낮아 BJT 보다 구동하기 쉽다.,"BJT처럼 on-drop 이 전류에 관계없이 낮고 거의 일정하 며, MOSFET보다 훨씬 큰 전류를 흘릴 수 있다.",3,text,
53,유도전동기에서 공급 전압의 크기가 일정하고 전원 주파수 만 낮아질 때 일어나는 현상으로 옳은 것은?,철손이 감소한다.,온도상승이 커진다.,여자전류가 감소한다.,회전속도가 증가한다.,2,text,
54,용접용으로 사용되는 직류발전기의 특성 중에서 가장 중요 한 것은?,과부하에 견딜 것,전압변동률이 적을 것,경부하일 때 효율이 좋을 것,전류에 대한 전압특성이 수하특성일 것,4,text,
55,동기발전기에 설치된 제동권선의 효과로 틀린 것은?,난조 방지,과부하 내량의 증대,송전선의 불평형 단락 시 이상전압 방지,"불평형 부하 시의 교류, 전압 파형의 개선",2,text,
56,"3300/220V 변압기 A, B의 정격용량이 각각 400kVA, 300kVA이고, %임피던스 강하가 각각 2.4%, 3.6% 일 때 그 2대의 변압기에 걸 수 있는 합성부하용량은 몇 kVA 인가?",550,600,650,700,2,text,
57,동작모드가 그림과 같이 나타나는 혼합브리지는?,,,,,1,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q057.png
58,"동기기의 전기자 저항을 r, 전기자 반작용 리액턴스를 X , a 누설 리액턴스를 X 라고 하면 동기임피던스를 표시하는 식 ℓ 은?",,전기기사 2020년 08월 22일 필기 기출문제,,,4,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q058.png
59,단상 유도전동기에 대한 설명으로 틀린 것은?,반발 기동형 : 직류전동기와 같이 정류자와 브러시를 이 용하여 기동한다.,분상 기동형 : 별도의 보조권선을 사용하여 회전자계를 발생시켜 기동한다.,"커패시터 기동형 : 기동전류에 비해 기동토크가 크지만, 커패시터를 설치해야 한다.",반발 유도형 : 기동 시 농형권선과 반발전동기의 회전자 권선을 함께 이용하나 운전 중에는 농형권선만을 이용한 다.,4,text,
60,직류전동기의 속도제어법이 아닌 것은?,계자 제어법,전력 제어법,전압 제어법,저항 제어법 4과목 : 회로이론 및 제어공학,2,text,
61,그림과 같이 피드백제어 시스템에서 입력이 단위계단함수일 때 정상상태 오차상수인 위치상수(K )는? p,,,,,1,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q061.png
62,"적분 시간 4sec, 비례 감도가 4인 비례적분 동작을 하는 제 어 요소에 동작신호 z(t) = 2t를 주었을 때 이 제어 요소의 조작량은? (단, 조작량의 초기 값은 0 이다.)",t2 + 8t,t2 + 2t,t2 - 8t,t2 - 2t,1,text,
63,"시간함수 f(t) = sinωt의 z변환은? (단, T는 샘플링 주기이 다.)",,,,,2,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q063.png
64,다음과 같은 신호흐름선도에서 C(s)/R(s)의 값은?,,,,,3,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q064.png
65,Routh-Hurwitz 방법으로 특성방정식이 s4+2s3+s2+4s+2=0 인 시스템의 안정도를 판별하면?,안정,불안정,임계안정,조건부 안정,2,text,
66,"제어시스템의 상태방정식이 , , 일 때, 특성방정식을 구하면?",s2-4s-3=0,s2-4s+3=0,s2+4s+3=0,s2+4s-3=0,2,text,
67,어떤 제어시스템의 개루프 이득이 일 때 이 시스템이 가지는 근궤적의 가지(branch) 수는?,1,3,4,5,3,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q067.png
68,다음 회로에서 입력 전압 v (t)에 대한 출력 전압 v (t)의 전,,,,,1,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q068.png
69,특성방정식의 모든 근이 s평면(복소평면)의 jω축(허수축)에 있을 때 이 제어시스템의 안정도는?,알 수 없다.,안정하다.,불안정하다.,임계안정이다.,4,text,
70,논리식 를 간단히 하 면?,A + B,,,A + A·B,1,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q070.png
71,"선간 전압이 V (V)인 3상 평형 전원에 대칭 부하 R(Ω)이 ab 그림과 같이 접속되어 있을 때, a, b 두 상간에 접속된 전 력계의 지시 값이 W(W)라면 C상 전류의 크기(A)는?",,,,,3,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q071.png
72,"불평형 3상 전류가 I = 15+j2(A), I = -20-j14(A), I = a b c -3+j10(A)일 때, 역상분 전류 I (A)는?",,,,,1,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q072.png
73,회로에서 20Ω의 저항이 소비하는 전력은 몇 W 인가?,14,27,40,80,4,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q073.png
74,"RC 직렬회로에서 직류전압 V(V)가 인가되었을 때, 전류 i(t) 에 대한 전압 방정식(KVL)이 이다. 전류 i(t)의 라 플라스 변환인 I(s)는? (단, C에는 초기 전하가 없다.)",,,,,3,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q074.png
75,"선간 전압이 100V 이고, 역률이 0.6인 평형 3상 부하에서 무효전력이 Q=10kvar 일 때, 선전류의 크기는 약 몇 A 인 가?",57.7,72.2,96.2,125,2,text,
76,"그림과 같은 T형 4단자 회로망에서 4단자 정수 A와 C는? (단, Z =1/Y , Z =1/Y , Z =1/Y )",,,,,3,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q076.png
77,"어떤 회로의 유효전력이 300W, 무효전력이 400var 이다. 이 회로의 복소전력의 크기(VA)는?",350,500,600,700,2,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q077.png
78,"R=4Ω, ωL=3Ω의 직렬회로의 e=100√2 sinωt + 50√2 sin3ω t를 인가할 때 이 회로의 소비전력은 약 몇 W 인가?",1000,1414,1560,1703,4,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q078.png
79,"단위 길이 당 인덕턴스가 L(H/m)이고, 단위 길이 당 정전용 량이 C(F/m)인 무손실 선로에서의 진행파 속도(m/s)는?",,,,,2,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q079.png
80,"t=0에서 스위치(S)를 닫았을 때 t=0+ 에서의 i(t)는 몇 A 인 가? (단, 커패시터에 초기 전하는 없다.)",0.1,0.2,0.4,1.0 5과목 : 전기설비기술기준 및 판단기준,1,text,
