번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
36,가공선 계통은 지중선 계통보다 인덕턴스 및 정전용량이 어떠한가?,"인덕턴스, 정전용량이 모두 작다.","인덕턴스, 정전용량이 모두 크다.","인덕턴스는 크고, 정전용량은 작다.","인덕턴스는 작고, 정전용량은 크다.",3,text,
37,"송전선의 특성임피던스는 저항과 누설 컨덕턴스를 무시하 면 어떻게 표현되는가? (단, L은 선로의 인덕턴스, C는 선 로의 정전용량이다.)",,,,,1,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q037.png
38,다음 중 송전선로의 코로나 임계전압이 높아지는 경우가 아닌 것은?,날씨가 맑다.,기압이 높다,상대공기밀도가 낮다.,전선의 반지름과 선간거리가 크다.,3,text,
39,"어느 수용가의 부하설비는 전등설비가 500W, 전열설비가 600W, 전동기 설비가 400W, 기타설비가 100W 이다. 이 수용가의 최대수용전력이 1200W이면 수용률은 몇 %인 가?",55,65,75,85,3,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q039.png
40,케이블의 전력 손실과 관계가 없는 것은?,철손,유전체손,시스손,도체의 저항손 3과목 : 전기기기,1,text,
41,동기발전기의 돌발 단락 시 발생되는 현상으로 틀린 것은?,큰 과도전류가 흘러 권선 소손,단락전류는 전기자 저항으로 제한,코일 상호간 큰 전자력에 의한 코일 파손,큰 단락전류 후 점차 감소하여 지속 단락전류 유지,2,text,
42,SCR의 특징으로 틀린 것은?,과전압에 약하다..,열용량이 적어 고온에 약하다.,전류가 흐르고 있을 때의 양극 전압강하가 크다.,게이트에 신호를 인가할 때부터 도통할 때까지의 시간 이 짧다.,3,text,
43,터빈 발전기의 냉각을 수소냉각방식으로 하는 이유로 틀린 것은?,풍손이 공기 냉각 시의 양 1/10로 줄어든다.,열전도율이 좋고 가스냉각기의 크기가 작아진다.,절연물의 산화작용이 없으므로 절연열화가 작아서 수명 이 길다.,반폐형으로 하기 때문에 이물질의 침입이 없고 소음이 감소한다.,4,text,
44,단상 유도전동기의 특징을 설명한 것으로 옳은 것은?,기동 토크가 없으므로 기동장치가 필요하다.,기계손이 있어도 무부하 속도는 동기속도보다 크다.,"권선형은 비례추이가 불가능하며, 최대 토크는 불변이 다.","슬립은 0＞S＞-1 이고, 2보다 작고 0이 되기 전에 토 크가 0이 된다.",1,text,
45,몰드변압기의 특징으로 틀린 것은?(문제 오류로 가답안 발 표시 4번으로 발표되었지만 확정답안 발표시 모두 정답처 리 되었습니다. 여기서는 가답안인 4번을 누르면 정답 처 리 됩니다.),자기 소화성이 우수하다.,소형 경량화가 가능하다.,건식변압기에 비해 소음이 적다.,유입변압기에 비해 절연레벨이 낮다.,4,text,
46,"유도전동기의 회전속도를 N(rpm), 동기속도를 Ns(rpm)이 라하고 순방향 회전자계의 슬립을 s라고 하면, 역방향 회 전자계에 대한 회전자 슬립은?",s-1,1-s,s-2,2-s,4,text,
47,"직류발전기에 직결한 3상 유도전동기가 있다. 발전기의 부 하 100kW, 효율 90%이며 전동기 단자전압 3300V, 효율 90%, 역률 90%이다. 전동기에 흘러들어가는 전류는 약 몇 A인가?",2.4,4.8,19,24,4,text,
48,유도발전기의 동작특성에 관한 설명 중 틀린 것은?,병렬로 접속된 동기발전기에서 여자를 취해야 한다.,효율과 역률이 낮으며 소출력의 자동수력발전기와 같은 용도에 사용된다. 전기기사 2019년 08월 04일 필기 기출문제,유도발전기의 주파수를 증가하려면 회전속도를 동기속 도 이상으로 회전시켜야 한다.,선로에 단락이 생긴 경우에는 여자가 상실되므로 단락 전류는 동기발전기에 비해 적고 지속시간도 짧다.,3,text,
49,단상 변압기를 병렬 운전하는 경우 각 변압기의 부하분담 이 변압기의 용량에 비례하려면 각각의 변압기의 %임피던 스는 어느 것에 해당되는가?,어떠한 값이라도 좋다.,변압기 용량에 비례하여야 한다.,변압기 용량에 반비례하여야 한다.,변압기 용량에 관계없이 같아야 한다.,3,text,
50,그림은 여러 직류전동기의 속도 특성곡선을 나타낸 것이 다. 1부터 4까지 차례로 옳은 것은?,"차동복권, 분권, 가동복권, 직권","직권, 가동복권, 분권, 차동복권","가동복권, 차동복권, 직권, 분권","분권, 직권, 가동복권, 차동복권",2,text,
51,전력변환기기로 틀린 것은?,컨버터,정류기,인버터,유도전동기,4,text,
52,농형 유도전동기에 주로 사용되는 속도제어법은?,극수 변환법,종속 접속법,2차 저항제어법,2차 여자제어법,1,text,
53,"정격전압 100V, 정격전류 50A인 분권발전기의 유기기전력 은 몇 V 인가? (단, 전기자 저항 0.2Ω, 계자전류 및 전기 자 반작용은 무시한다.)",110,120,125,127.5,1,text,
54,그림과 같은 변압기 회로에서 부하 R 에 공급되는 전력이,,,,,2,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q054.png
55,"변압기의 백분율 저항강하가 3%, 백분율 리액턴스 강하가 4%일 때 뒤진 역률 80%인 경우의 전압변동률(%)은?",2.5,3.4,4.8,-3.6,3,text,
56,정류자형 주파수변환기의 회전자에 주파수 f 의 교류를 가,,,,,4,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q056.png
57,동기발전기의 3상 단락곡선에서 단락전류가 계자전류에 비 례하여 거의 직선이 되는 이유로 가장 옳은 것은?,무부하 상태이므로,전기자 반작용으로,자기포화가 있으므로,누설 리액턴스가 크므로,2,text,
58,"1차 전압 V , 2차 전압 V 인 단권변압기를 Y결선했을 때,",,,,,2,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q058.png
59,변압기의 보호에 사용되지 않는 것은?,온도계전기,과전류계전기,임피던스계전기,비율차등계전기,3,text,
60,"E를 전압, r을 1차로 환산한 저항, χ를 1차로 환산한 리액 터스라고 할 때 유도전동기의 원선도에서 원의 지름을 나 타내는 것은?",E·r,E·χ,E/x,E/r 4과목 : 회로이론 및 제어공학,3,text,
61,그림의 벡터 궤적을 갖는 계의 주파수 전달함수는? 전기기사 2019년 08월 04일 필기 기출문제,,,,,4,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q061.png
62,근궤적에 관한 설명으로 틀린 것은?,근궤적은 실수축에 대하여 상하 대칭으로 나타난다.,근궤적의 출발점은 극점이고 근궤적의 도착점은 영점이 다.,근궤적의 가지 수는 극점의 수와 영점의 수 중에서 큰 수와 같다.,근궤적이 s 평면의 우반면에 위치하는 K의 범위는 시 스템이 안정하기 위한 조건이다.,4,text,
63,"제어시스템에서 출력이 얼마나 목표값을 잘 추종하는지를 알아볼 때, 시험용으로 많이 사용되는 신호로 다음 식의 조건을 만족하는 것은?",사인함수,임펄스함수,램프함수,단위계단함수,4,text,
64,특성방적식 s2+Ks+2K-1=0 인 계가 안정하기 위한 K의 범 위는?,,,,,2,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q064.png
65,"상태공간 표현식 로 표현되는 선형 시 스템에서 , , C = [1 0 0], D = 0, 이면 시스템 전달함수 는?",,,,,3,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q065.png
66,Routh-Hurwitz 표에서 제 1열의 부호가 변하는 횟수로부 터 알 수 있는 것은?,s-평면의 좌반면에 존재하는 근의 수,s-평면의 우반면에 존재하는 근의 수,s-평면의 허수축에 존재하는 근의 수,s-평면의 원점에 존재하는 근의 수,2,text,
67,그림의 블록선도에 대한 전달함수 C/R는?,,,,,3,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q067.png
68,신호흐름선도의 전달함수 로 옳은 것 은?,,전기기사 2019년 08월 04일 필기 기출문제,,,2,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q068.png
69,부울 대수식 중 틀린 것은?,,A + 1 = 1,A + A = A,A · A = A,1,text,
70,함수 e-at의 z 변환으로 옳은 것은?,,,,,1,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q070.png
71,"4단자 회로망에서 4단자 정수가 A, B, C, D일 때, 영상 임피던스 은?",,,,,4,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q071.png
72,"RL 직렬회로에서 R=20Ω, L=40mH일 때, 이 회로의 시정 수(sec)는?",2 × 103,2 × 10-3,,,2,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q072.png
73,"비정현파 전류가 i(t) = 56sinωt + 20sin2ωt + 30sin(3ωt+ 30°) + 40sin(4ωt + 60°)로 표현될 때, 왜형률은 약 얼마 인가?",1.0,0.96,0.55,0.11,2,text,
74,"대칭 6상 성형(star)결선에서 선간전압 크기와 상전압 크기 의 관계로 옳은 것은? (단, V : 선간전압 크기, V : 상전 l p 압 크기)",,,,,1,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q074.png
75,"3상 불평형 전압 V , V , V 가 주어진다면, 정상분 전압은? a b c (단, a = ej2π/3 = 1∠120° 이다.)",V + a2V + aV a b c,V + aV + a2V a b c,(V + a2V + aV ) a b c,(V + aV + a2V ) a b c,4,text,
76,"송전선로가 무손실 선로일 때, L=96mH 이고 C=0.6μF 이 면 특성임피던스(Ω)는?",100,200,400,600,3,text,
77,커페시터와 인덕터에서 물리적으로 급격히 변화할 수 없는 것은?,커페시터와 인덕터에서 모두 전압,커페시터와 인덕터에서 모두 전류,"커페시터에서 전류, 인덕터에서 전압","커페시터에서 전압, 인덕터에서 전류",4,text,
78,"2전력계법을 이용한 평형 3상회로의 전력이 각각 500W 및 300W로 측정되었을 때, 부하의 역률은 약 몇 % 인가?",70.7,87.7,89.2,91.8,4,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q078.png
79,"인덕턴스가 0.1H인 코일에 실효값 100V, 60Hz, 위상 30 도인 전압을 가했을 때 흐르는 전류의 실효값 크기는 약 몇 A 인가?",43.7,37.7,5.46,2.65,4,text,
80,f(t) = δ(t – T)의 라플라스변환 F(s)는?,eTs,e-Ts,,5과목 : 전기설비기술기준 및 판단기준,2,text,
