번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
24,어떤 화력발전소에서 과열기 출구의 증기압이 169kg/cm2] 이다. 이것은 약 몇 atm 인가?,127.1,163.6,1650,12850,2,text,
25,가공 송전선로를 가선할 때에는 하중 조건과 온도 조건을 고려하여 적당한 이도(dip)를 주도록 하여야 한다. 이도에 대한 설명으로 옳은 것은?,이도의 대소는 지지물의 높이를 좌우한다.,전선을 가선할 때 전선을 팽팽하게 하는 것을 이도가 크 다고 한다.,이도가 작으면 전선이 좌우로 크게 흔들려서 다른 상의 전선에 접촉하여 위험하게 된다.,"이도가 작으면 이에 비례하여 전선의 장력이 증가되며, 너무 작으면 전선 상호간이 꼬이게 된다.",1,text,
26,"승압기에 의하여 전압 V 에서 V 로 승압할 때, 2차 정격전 e h 압 e, 자기용량 W인 단상 승압기가 공급할 수 있는 부하 용 량은?",,,,,1,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q026.png
27,일반적으로 부하의 역률을 저하시키는 원인은?,전등의 과부하,선로의 충전전류,유도 전동기의 경부하 운전,동기 전동기의 중부하 운전,3,text,
28,"송전단 전압을 V , 수전단 전압을 V , 선로의 리액턴스를 X S r 라 할 때, 정상 시의 최대 송전전력의 개략적인 값은?",,,,,4,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q028.png
29,가공지선의 설치 목적이 아닌 것은?,전압 강하의 방지,직격뢰에 대한 차폐,유도뢰에 대한 정전차폐,통신선에 대한 전자유도 장해 경감,1,text,
30,피뢰기가 방전을 개시할 때의 단자 전압의 순시값을 방전 개시 전압이라 한다. 방전 중의 단자 전압의 파고값을 무엇 이라 하는가?,속류,제한 전압,기준충격 절연강도,상용주파 허용 단자 전압,2,text,
31,"송전 계통의 한 부분이 그림과 같이 3상 변압기로 1차측은 △로, 2차측은 Y로 중성점이 접지되어 있을 경우, 1차측에 흐르는 영상전류는?",1차측 선로에서 ∞이다.,1차측 선로에서 반드시 0이다.,1차측 변압기 내부에서는 반드시 0이다.,1차측 변압기 내부와 1차측 선로에서 반드시 0이다.,2,text,
32,배전선로에 관한 설명으로 틀린 것은?,밸런서는 단상 2선식에 필요하다.,저압 뱅킹 방식은 전압 변동을 경감할 수 있다.,배전선로의 부하율이 F일 때 손실계수는 F와 F2의 사이 의 값이다.,수용률이란 최대수용전력을 설비 용량으로 나눈 값을 퍼 센트로 나타낸다.,1,text,
33,수차 발전기에 제동권선을 설치하는 주된 목적은?,정지시간 단축,회전력의 증가 전기기사 2017년 05월 07일 필기 기출문제,과부하 내량의 증대,발전기의 안정도 증진,4,text,
34,"3상 3선식 가공전선로에서 한 선의 저항은 15Ω, 리액턴스 는 20Ω이고, 수전단 선간전압은 30kV, 부하역률은 0.8(뒤 짐)이다. 전압강하율을 10%라 하면, 이 송전선로는 몇 kW 까지 수전할 수 있는가?",2500,3000,3500,4000,2,text,
35,송전선로에서 사용하는 변압기 결선에 △결선이 포함되어 있는 이유는?,직류분의 제거,제 3고조파의 제거,제 5고조파의 제거,제 7고조파의 제거,2,text,
36,교류 송전 방식과 비교하여 직류 송전 방식의 설명이 아닌 것은?,전압 변동률이 양호하고 무효전력에 기인하는 전력 손실 이 생기지 않는다.,안정도의 한계가 없으므로 송전용량을 높일 수 있다.,전력 변환기에서 고조파가 발생한다.,"고전압, 대전류의 차단이 용이하다.",4,text,
37,"전압 66000V, 주파수 60Hz, 길이 15km, 심선 1선당 작용 정전용량 0.3587㎌/㎞인 한 선당 지중 전선로의 3상 무부하 충전전류는 약 몇 A인가? (단, 정전용량 이외의 선로정수는 무시한다.)",62.5,68.2,73.6,77.3,4,text,
38,전력계통에서 사용되고 있는 GCB(Gas Circuit Breaker)용 가스는? ① N 가스 ② SF 가스,,,,,2,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q038.png
39,차단기와 아크 소호원리가 바르지 않은 것은?,OCB : 절연유에 분해 가스 흡부력 이용,VCB : 공기 중 냉각에 의한 아크 소호,ABB : 압축 공기를 아크에 불어 넣어서 차단,MBB : 전자력을 이용하여 아크를 소호실내로 유도하여 냉각,2,text,
40,네트워크 배전 방식의 설명으로 옳지 않은 것은?,전압 변동이 적다.,배전 신뢰도가 높다.,전력손실이 감소한다.,인축의 접촉사고가 적어진다. 3과목 : 전기기기,4,text,
41,정류회로에 사용되는 환류다이오드(free wheeling diode)에 대한 설명으로 틀린 것은?,순저항 부하의 경우 불필요하게 된다.,유도성 부하의 경우 불필요하게 된다.,환류 다이오드 동작 시 부하출력 전압은 약 0V가 된다.,유도성 부하의 경우 부하전류의 평활화에 유용하다.,2,text,
42,3상 변압기를 병렬운전하는 경우 불가능한 조합은?,△-Y 와 Y-△,△-△ 와 Y-Y,△-Y 와 △-Y,△-Y 와 △-△,4,text,
43,3상 직권 정류자 전동기에 중간(직렬)변압기가 쓰이고 있는 이유가 아닌 것은?,정류자 전압의 조정,회전자 상수의 감소,실효 권수비 선정 조정,경부하 때 속도의 이상 상승 방지,2,text,
44,직류 분권 전동기를 무부하로 운전 중 계자 회로에 단선이 생긴 경우 발생하는 현상으로 옳은 것은?,역전한다.,즉시 정지한다.,과속도로 되어 위험하다.,무부하이므로 서서히 정지한다.,3,text,
45,변압기에 있어서 부하와는 관계없이 자속만을 발생시키는 전류는?,1차 전류,자화 전류,여자 전류,철손 전류,2,text,
46,직류 전동기의 규약 효율을 나타낸 식으로 옳은 것은?,,,,,4,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q046.png
47,직류 전동기에서 정속도 전동기라고 볼 수 있는 전동기는?,직권 전동기,타여자 전동기,화동 복권 전동기,차동 복권 전동기,2,text,
48,단상 유도전동기의 기동 방법 중 기동 토크가 가장 큰 것 은?,반발 기동형,분상 기동형,세이딩 코일형,콘덴서 분상 기동형,1,text,
49,부흐홀츠 계전기에 대한 설명으로 틀린 것은?,오동작의 가능성이 많다.,전기적 신호로 동작한다.,변압기의 보호에 사용된다.,변압기의 주탱크와 콘서베이터를 연결하는 관중에 설치 한다.,2,text,
50,직류기에서 정류코일의 자기 인덕턴스를 L이라 할 때 정류 코일의 전류가 정류주기 T 사이에 I 에서 -I 로 변한다면 C C C 정류 코일의 리액턴스 전압[V]의 평균값은?,,,,전기기사 2017년 05월 07일 필기 기출문제,3,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q050.png
51,일반적인 전동기에 비하여 리니어 전동기의 장점이 아닌 것 은?,구조가 간단하여 신뢰성이 높다.,마찰을 거치지 않고 추진력이 얻어진다.,원심력에 의한 가속제한이 없고 고속을 쉽게 얻을 수 있 다.,"기어, 벨트 등 동력 변환기구가 필요 없고 직접 원운동 이 얻어진다.",4,text,
52,직류를 다른 전압의 직류로 변환하는 전력변환 기기는?,초퍼,인버터,사이클로 컨버터,브리지형 인버터,1,text,
53,와전류 손실을 패러데이 법칙으로 설명한 과정 중 틀린 것 은?,와전류가 철심으로 흘러 발열,유기전압 발생으로 철심에 와전류가 흐름,시변 자속으로 강자성체 철심에 유기전압 발생,와전류 에너지 손실량은 전류 경로 크기에 반비례,4,text,
54,"주파수가 정격보다 3% 감소하고 동시에 전압이 정격보다 3% 상승된 전원에서 운전되는 변압기가 있다. 철손이 에 비례한다면 이 변압기 철손은 정격 상태에 비하 여 어떻게 달라지는가? (단, f : 주파수, B : 자속밀도 최 m 대치이다.)",약 8.7% 증가,약 8.7% 감소,약 9.4% 증가,약 9.4% 감소,3,text,
55,"교류정류자기에서 갭의 자속분포가 정현파로 ø =0.14Wb, m P=2, a=1, Z=200, n=1200rpm인 경우 브러시 축이 자극축 과 30°라면, 속도 기전력의 실효값 E 는 약 몇 V인가? S",160,400,560,800,2,text,
56,역률 0.85의 부하 350kW에 50kW를 소비하는 동기 전동기 를 병렬로 접속하여 합성 부하의 역률을 0.95로 개선하려면 진상 무효 전력은 약 몇 kVar인가?,68,72,80,85,4,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q056.png
57,"변압기의 무부하시험, 단락시험에서 구할 수 없는 것은?",철손,동손,절연 내력,전압 변동률,3,text,
58,3상 동기 발전기의 단락곡선이 직선으로 되는 이유는?,전기자 반작용으로,무부하 상태이므로,자기 포화가 있으므로,누설 리액턴스가 크므로,1,text,
59,"정격출력 5000kVA, 정격전압 3.3kV, 동기 임피던스가 매상 1.8Ω인 3상 동기 발전기의 단락비는 약 얼마인가?",1.1,1.2,1.3,1.4,2,text,
60,동기기의 회전자에 의한 분류가 아닌 것은?,원통형,유도자형,회전 계자형,회전 전기자형 4과목 : 회로이론 및 제어공학,1,text,
61,"기준 입력과 주궤환량과의 차로서, 제어계의 동작을 일으키 는 원인이 되는 신호는?",조작 신호,동작 신호,주궤환 신호,기준 입력 신호,2,text,
62,폐루프 전달함수 C(s)/R(s)가 다음과 같은 2차 제어계에 대 한 설명 중 틀린 것은?,최대 오버슈트는 이다.,이 폐루프계의 특성 방정식은 이다.,이 계는 δ=0.1일 때 부족 제동된 상태에 있게 된다.,δ값을 작게 할수록 제동은 많이 걸리게 되니 비교 안정 도는 향상된다.,4,text,
63,"3차인 이산치 시스템의 특성 방정식의 근이 –0.3, -0.2, +0.5로 주어져 있다. 이 시스템의 안정도는?",이 시스템은 안정한 시스템이다.,이 시스템은 불안정한 시스템이다.,이 시스템은 임계 안정한 시스템이다.,위 정보로서는 이 시스템의 안정도를 알 수 없다.,1,text,
64,다음의 특성 방정식을 Routh-Hurwitz 방법으로 안정도를 판 별하고자 한다. 이때 안정도를 판별하기 위하여 가장 잘 해 석한 것은 어느 것인가?,s 평면의 우반면에 근은 없으나 불안정하다.,s 평면의 우반면에 근이 1개 존재하여 불안정하다.,s 평면의 우반면에 근이 2개 존재하여 불안정하다.,s 평면의 우반면에 근이 3개 존재하여 불안정하다.,3,text,
65,전달함수 일 때 근궤적 의 수는?,1,2,3,4,3,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q065.png
66,"다음의 미분 방정식을 신호 흐름 선도에 옳게 나타낸 것은? (단, 로 표시한다.) 전기기사 2017년 05월 07일 필기 기출문제",,,,,1,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q066.png
67,다음 블록선도의 전체 전달함수가 1이 되기 위한 조건은?,,,,,1,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q067.png
68,특성 방정식의 모든 근이 s 복소평면의 좌반면에 있으면 이 계는 어떠한가?,안정,준안정,불안정,조건부 안정,1,text,
69,그림의 회로는 어느 게이트(gate)에 해당되는가?,OR,AND,NOT,NOR,1,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q069.png
70,전달함수가 로 주어진 시스 템의 단위 임펄스 응답은?,y(t)=1-t+e-t,y(t)=1+t+e-t,y(t)=t-1+e-t,y(t)=t-1-e-t,3,text,
71,다음과 같은 회로망에서 영상파라미터(영상전달정수) θ는?,10,2,1,0,4,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q071.png
72,△결선된 대칭 3상 부하가 있다. 역률이 0.8(지상)이고 소비 전력이 1800W이다. 선로의 저항 0.5Ω에서 발생하는 선로 손실이 50W이면 부하단자 전압[V]은?,627,525,326,225,4,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q072.png
73,E=40+j30[V]의 전압을 가하면 I=30+j10[A]의 전류가 흐르 는 회로의 역률은?,0.949,0.831,0.764,0.651,1,text,
74,"그림과 같은 회로에서 스위치 S를 닫았을 때, 과도분을 포 함하지 않기 위한 R[Ω]은?",100,200,300,400,3,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q074.png
75,"분포정수 회로에서 직렬 임피던스를 Z, 병렬 어드미턴스를 Y라 할 때, 선로의 특성임피던스 Z 는?",,,,,4,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q075.png
76,다음과 같은 회로의 공진시 어드미턴스는? 전기기사 2017년 05월 07일 필기 기출문제,RL/C,RC/L,L/RC,R/LC,2,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q076.png
77,그림과 같은 회로에서 전류 I[A]는?,0.2,0.5,0.7,0.9,2,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q077.png
78,로 주어졌을 때 F(s)의 역변환은?,1/2(1+et),1/2(1+e-2t),1/2(1-e-t),1/2(1-e-2t),2,text,
79,"인 전압을 R-L 직렬 회로에 가할 때 제 5고조파 전류의 실 효값은 약 몇 [A]인가? (단, R=12Ω, wL=1Ω 이다.)",10,15,20,25,3,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q079.png
80,그림과 같은 파형의 전압 순시값은?,,,,5과목 : 전기설비기술기준 및 판단기준,1,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q080.png
