번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
13,"면적이 매우 넓은 두 개의 도체판을 d(m) 간격으로 수평하 게 평행 배치하고, 이 평행 도체 판 사이에 놓인 전자가 정 지하고 있기 위해서 그 도체 판 사이에 가하여야할 전위차 (V)는? (단, g는 중력 가속도이고, m은 전자의 질량이고, e 는 전자의 전하량이다.)",mged,ed/mg,mgd/e,mge/d,3,text,
14,"진공 중 3m 간격으로 두 개의 평행판 무한평판 도체에 각 각 ＋4C/m2, -4C/m2의 전하를 주었을 때, 두 도체 간의 전 위차는 약 몇 V인가?",1.5×1011,1.5×1012,1.36×1011,1.36×1012 전기기사 2020년 06월 06일 필기 기출문제,4,text,
15,평등자계 내에 전자가 수직으로 입사하였을 때 전자의 운동 에 대한 설명으로 옳은 것은?,원심력은 전자속도에 반비례한다.,구심력은 자계의 세기에 반비례한다.,"원운동을 하고, 반지름은 자계의 세기에 비례한다.","원운동을 하고, 반지름은 전자의 회전속도에 비례한다.",4,text,
16,"자속밀도 B(Wb/m2)의 평등 자계 내에서 길이 ℓ(m) 인 도체 ab가 속도 v(m/s)로 그림과 같이 도선을 따라서 자계와 수 직으로 이동할 때, 도체 ab에 의해 유기된 기전력의 크기 e(V)와 폐회로 abcd 내 저항 R에 흐르는 전류의 방향은? (단, 폐회로 abcd 내 도선 및 도체의 저항은 무시한다.)","e＝Blv, 전류방향 : c→d","e＝Blv, 전류방향 : d→c","e＝Blv2, 전류방향 : c→d","e＝Blv2, 전류방향 : d→c",1,text,
17,"자기유도계수 L의 계산 방법이 아닌 것은? (단, N : 권수, ø : 자속(Wb), I : 전류(A), A : 벡터퍼텐셜(Wb/m), i : 전류밀 도(A/m2), B(Wb/m2), H : 자계의 세기(AT/m)이다.",,,,,4,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q017.png
18,"면적이 S(m2)이고 극간의 거리가 d(m)인 평행판 콘덴서에 비유전율이 ε 인 유전체를 채울 때 정전용량 (F)은? (단, ε r 0 는 진공의 유전율이다.)",,,,,3,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q018.png
19,"그림에서 N＝1000회, l＝100㎝, S＝10cm2인 환상 철심의 자기 회로에 전류 I＝10(A)를 흘렸을 때 축적되는 자계 에 너지는 몇 J인가? (단, 비투자율 μ ＝100이다.) r",2π×10-3,2π×10-2,2π×10-1,2π,4,text,
20,20℃에서 저항의 온도계수가 0.002인 니크롬선의 저항이 100Ω이다. 온도가 60℃로 상승되면 저항은 몇 Ω이 되겠는 가?,108,112,115,120 2과목 : 전력공학,1,text,
21,송배전 선로에서 선택지락계전기(SGR)의 용도는?,다회선에서 접지 고장 회선의 선택,단일 회선에서 접지 전류의 대소 선택,단일 회선에서 접지 전류의 방향 선택,단일 회선에서 접지 사고의 지속 시간 선택,1,text,
22,"3상 3선식에서 전선 한 가닥에 흐르는 전류는 단상 2선식의 경우의 몇 배가 되는가? (단, 송전전력, 부하역률, 송전 거 리, 전력손실 및 선간전압이 같다.)",1/√3,2/3,3/4,4/9,1,text,
23,단로기에 대한 설명으로 틀린 것은?,소호장치가 있어 아크를 소멸 시킨다.,무부하 및 여자전류의 개폐에 사용된다.,사용 회로수에 의해 분류하면 단투형과 쌍투형이 있다.,회로의 분리 또는 계통의 접속 변경 시 사용한다.,1,text,
24,"중성점 직접접지방식의 발전기가 있다. 1선 지락 사고 시지 락전류는? (단, Z , Z , Z 는 각각 정상, 역상, 영상 임피던",,,,,3,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q024.png
25,"정격전압 7.2kV, 정격차단용량 100MVA인 3상 차단기의 정 격 차단전류는 약 몇 kA인가?",4,6,7,8,4,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q025.png
26,"일반 회로정수가 같은 평형 2회선에서 A, B, C, D는 각각 1회선의 경우의 몇 배로 되는가?","A : 2배, B : 2배, C : 1/2배, D : 1배","A : 1배, B : 2배, C : 1/2배, D : 1배","A : 1배, B : 1/2배, C : 2배, D : 1배","A : 1배, B : 1/2배, C : 2배, D : 2배",3,text,
27,전선의 표피 효과에 대한 설명으로 알맞은 것은?,"전선이 굵을수록, 주파수가 높을수록 커진다.","전선이 굵을수록, 주파수가 낮을수록 커진다. 전기기사 2020년 06월 06일 필기 기출문제","전선이 가늘수록, 주파수가 높을수록 커진다.","전선이 가늘수록, 주파수가 낮을수록 커진다.",1,text,
28,전력설비의 수용률을 나타낸 것은?,,,,,3,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q028.png
29,"30,000kW의 전력을 51㎞ 떨어진 지점에 송전하는데 필요한 전압은 약 몇 kV인가? (단, Still의 식에 의하여 산정한다.)",22,33,66,100,4,text,
30,"증기터빈 출력을 P(kW), 증기량을 W(t/h), 초압 및 배기의 증기 엔탈피를 각각 i , i (kcal/kg)이라 하면 터빈의 효율 η",,,,,3,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q030.png
31,다음 중 송전계통의 절연협조에 있어서 절연레벨이 가장 낮 은 기기는?,피뢰기,단로기,변압기,차단기,1,text,
32,"수전단의 전력원 방정식이 P 2＋(Qr＋400)2=250000으로 표 r 현되는 전력계통에서 조상설비 없이 전압을 일정 하게 유지 하면서 공급할 수 있는 부하전력은? (단, 부하는 무유도성이 다.)",200,250,300,350,3,text,
33,송전선로에서 가공지선을 설치하는 목적이 아닌 것은?,뇌(雷)의 직격을 받을 경우 송전선 보호,유도뢰에 의한 송전선의 고전위 방지,통신선에 대한 전자유도장해 경감,철탑의 접지저항 경감,4,text,
34,고장 즉시 동작하는 특성을 갖는 계전기는?,순시 계전기,정한시 계전기,반한시 계전기,반한시성 정한시 계전기,1,text,
35,댐의 부속설비가 아닌 것은?,수로,수조,취수구,흡출관,4,text,
36,"4단자 정수 A＝0.9918＋j0.0042, B＝34.17＋j50.38, C＝ (-0.006＋j3247)×10-4인 송전선로의 송전단에 66kV를 인가 하고 수전단을 개방하였을 때 수전단 선간 전압은 약 몇 kV 인가?",66.55/√3,62.5,62.5/√3,66.55,4,text,
37,"3상 배전선로의 말단에 역률 60%(늦음), 60kW의 평형 3상 부하가 있다. 부하점에 부하와 병렬로 전력용콘덴서를 접속 하여 선로손실을 최소로 하고자 할 때 콘덴서 용량(kVA)은? (단, 부하단의 전압은 일정하다.)",40,60,80,100,3,text,
38,화력발전소에서 절탄기의 용도는?,보일러에 공급되는 급수를 예열한다.,포화증기를 과열한다.,연소용 공기를 예열한다.,석탄을 건조한다.,1,text,
39,변전소에서 비접지 선로의 접지보호용으로 사용되는 계전기 에 영상전류를 공급하는 것은?,CT,GPT,ZCT,PT,3,text,
40,"사고, 정전 등의 중대한 영향을 받는 지역에서 정전과 동시 에 자동적으로 예비전원용 배전선로로 전환하는 장치는?",차단기,리클로저(Recloser),섹셔널라이저(Sectionalizer),자동부하 전환개폐기(Auto Load Transfer Switch) 3과목 : 전기기기,4,text,
41,"3상 20,000kVA인 동기발전기가 있다. 이 발전기는 60㎐일 때는 200rpm, 50㎐일 때는 약 167rpm으로 회전한 다. 이 동기발전기의 극수는?",18극,36극,54극,72극,2,text,
42,전원전압이 100V인 단상 전파정류제어에서 점호각이 30°일 때 직류 평균전압은 약 몇 V인가?,54,64,84,94,3,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q042.png
43,"단자전압 110V, 전기자 전류 15 A, 전기자 회로의 저항 2 Ω, 정격속도 1800rpm으로 전부하에서 운전하고 있는 직류 전기기사 2020년 06월 06일 필기 기출문제 분권전동기의 토크는 약 몇 Nㆍm인가?",6.0,6.4,10.08,11.14,2,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q043.png
44,단상 유도전동기의 분상 기동형에 대한 설명으로 틀린 것 은?,보조권선은 높은 저항과 낮은 리액턴스를 갖는다.,주권선은 비교적 낮은 저항과 높은 리액턴스를 갖는다.,높은 토크를 발생시키려면 보조권선에 병렬로 저항을 삽 입한다.,전동기가 기동하여 속도가 어느 정도 상승하면 보조 권 선을 전원에서 분리해야 한다.,3,text,
45,"직류발전기에 P(Nㆍm/s)의 기계적 동력을 주면 전력은 몇 W로 변환되는가? (단, 손실은 없으며, I 는 전기자 도체의 a 전류, e는 전기자 도체의 유기기전력, Z는 총도체수이다.)",P=i eZ,a,,,1,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q045.png
46,"용량 1kVA, 3000/200V의 단상변압기를 단권변압기로 결선 해서 3000/3200V의 승압기로 사용할 때 그 부하 용량(kVA) 은?",1/16,1,15,16,4,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q046.png
47,"유도전동기를 정격상태로 사용 중, 전압이 10 % 상승할 때 특성변화로 틀린 것은? (단, 부하는 일정토크라고 가정 한 다.)",슬립이 작아진다.,역률이 떨어진다.,속도가 감소한다.,히스테리시스손과 와류손이 증가한다.,3,text,
48,단상 유도전동기의 기동 시 브러시를 필요로 하는 것은?,분상 기동형,반발 기동형,콘덴서 분상 기동형,셰이딩 코일 기동형,2,text,
49,스텝모터에 대한 설명으로 틀린 것은?,가속과 감속이 용이하다.,정ㆍ역 및 변속이 용이하다.,위치제어 시 각도 오차가 작다.,브러시 등 부품수가 많아 유지보수 필요성이 크다.,4,text,
50,직류전동기의 워드레오나드 속도제어 방식으로 옳은 것은?,전압제어,저항제어,계자제어,직병렬제어,1,text,
51,출력이 20kW인 직류발전기의 효율이 80 % 이면 전 손실은 약 몇 kW인가?,0.8,1.25,5,45,3,text,
52,전압변동률이 작은 동기발전기의 특성으로 옳은 것은?,단락비가 크다.,속도변동률이 크다.,동기 리액턴스가 크다.,전기자 반작용이 크다.,1,text,
53,변압기의 %Z가 커지면 단락전류는 어떻게 변화하는가?,커진다.,변동 없다.,작아진다.,무한대로 커진다.,3,text,
54,단권변압기의 설명으로 틀린 것은?,분로권선과 직렬권선으로 구분된다.,1차권선과 2차권선의 일부가 공동으로 사용된다.,3상에는 사용할 수 없고 단상으로만 사용한다.,분로권선에서 누설자속이 없기 때문에 전압변동률이 작 다.,3,text,
55,도통(on)상태에 있는 SCR을 차단(off)상태로 만들기 위해서 는 어떻게 하여야 하는가?,게이트 펄스전압을 가한다.,게이트 전류를 증가시킨다.,게이트 전압이 부(-)가 되도록 한다.,전원전압의 극성이 반대가 되도록 한다.,4,text,
56,동기전동기의 공급전압과 부하를 일정하게 유지하면서 역률 을 1로 운전하고 있는 상태에서 여자전류를 증가시키면 전 기자전류는?,앞선 무효전류가 증가,앞선 무효전류가 감소,뒤진 무효전류가 증가,뒤진 무효전류가 감소,1,text,
57,계자권선이 전기자에 병렬로만 연결된 직류기는?,분권기,직권기,복권기,타여자기,1,text,
58,정격전압 6600V인 3상 동기발전기가 정격출력(역률＝1)으로 운전할 때 전압변동률이 12%이었다. 여자전류와 회전수를 조정하지 않은 상태로 무부하 운전하는 경우 단자전압(V) 은?,6433,6943,7392,7842,3,text,
59,"1차전압 6600V, 권수비 30인 단상변압기로 전등부하에 30A 를 공급할 때의 입력(kW)은? (단, 변압기의 손실은 무시한 다.)",4.4,5.5,6.6,7.7,3,text,
60,3선 중 2선의 전원 단자를 서로 바꾸어서 결선하면 회전 방 향이 바뀌는 기기가 아닌 것은?,회전변류기,유도전동기,동기전동기,정류자형 주파수 변환기 4과목 : 회로이론 및 제어공학,4,text,
61,특성방정식이 s3＋2s2＋Ks＋10＝0로 주어지는 제어시스템이 안정하기 위한 K의 범위는?,K＞0,K＞5 전기기사 2020년 06월 06일 필기 기출문제,K＜0,0＜K＜5,2,text,
62,Z변환된 함수 에 대응되는 라플라스 변환 함수는?,,,,,4,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q062.png
63,그림과 같은 논리회로의 출력 Y는?,,,,,1,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q063.png
64,안정한 제어시스템의 보드선도에서 이득여유는?,-20~20dB 사이에 있는 크기(dB) 값이다.,0~20dB 사이에 있는 크기 선도의 길이이다.,위상이 0°가 되는 주파수에서 이득의 크기(dB)이다.,위상이 –180°가 되는 주파수에서 이득의 크기(dB)이다.,4,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q064.png
65,그림과 같은 제어시스템의 전달함수 는?,1/15,2/15,3/15,4/15,2,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q065.png
66,다음과 같은 미분방정식으로 표현되는 제어시스템의 시스템 행렬 A는?,,,,,3,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q066.png
67,그림의 신호흐름선도에서 전달함수 는?,,,,,2,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q067.png
68,"제어시스템의 개루프 전달함수가 로 주어질 때, 다음 중 인 경우 근궤적의 점근선이 실수축과 이루는 각 (°)은?",20°,60°,90°,120°,2,text,
69,단위 피드백 제어계에서 개루프 전달함수 G(s)가 다음과 같 이 주어졌을 때 단위 계단 입력에 대한 정상상태 편차는?,０,１,２,３,1,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q069.png
70,전달함수가 인 제어기가 있다. 이 제 어기는 어떤 제어기인가?,비례 미분 제어기,적분 제어기,비례 적분 제어기,비례 적분 미분 제어기,3,text,
71,f(t)＝t2e-at를 라플라스 변환하면?,,,,,3,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q071.png
72,"3상 전류가 I ＝10＋j3(A), I ＝-5－j2(A), I ＝-3＋j4일 때 a b c 정상분 전류의 크기는 약 몇 A 인가?",5,6.4,10.5,13.34 전기기사 2020년 06월 06일 필기 기출문제,2,text,
73,"선로의 단위 길이 당 인덕턴스, 저항, 정전용량, 누설 컨덕 턴스를 각각 L, R, C, G라 하면 전파정수는?",,,,,2,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q073.png
74,v(t)＝3＋5√2sinωt＋10√2sin(3ωt－π/3)(V)의 실효값 크기는 약 몇 V인가?,9.6,10.6,11.6,12.6,3,text,
75,회로에서 0.5Ω 양단 전압(V)은 약 몇 V인가?,0.6,0.93,1.47,1.5,3,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q075.png
76,"그림은 회로에서 영상임피던스 Z 이 6Ω일 때, 저항 R의 값",,,,,2,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q076.png
77,8＋j6(Ω)인 임피던스에 13＋j20 (V)의 전압을 인가할 때 복 소전력은 약 몇 VA인가?,127＋j34.1,12.7＋j55.5,45.5＋j34.1,45.5＋j55.5,3,text,
78,"그림과 같이 결선된 회로의 단자 (a, b, c)에 선간전압 V(V) 인 평형 3상 전압을 인가할 때 상전류 I(A)의 크기는?",,,,,1,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q078.png
79,"Y 결선의 평형 3상 회로에서 선간전압 V 와 상전압 V 의 ab an 관계로 옳은 것은? (단, )",,,,,2,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q079.png
80,"RLC 직렬회로의 파라미터가 의 관계를 가진 다면, 이 회로에 직류 전압을 인가하는 경우 과도 응답특성 은?",무제동,과제동,부족제동,임계제동 5과목 : 전기설비기술기준 및 판단기준,4,text,
