번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
45,"3상 동기발전기에서 그림과 같이 1상의 권선을 서로 똑같은 2조로 나누어 그 1조의 권선전압을 E(V), 각 권선의 전류를 I(A)라 하고 지그재그 Y형(Zigzag Star)으로 결선하는 경우 선간전압(V), 선전류(A) 및 피상전력(VA)은?","3E, I, √3×3E×I=5.2EI","√3E, 2I, √3×√3E×2I=6EI","E, 2√3I, √3×E×2√3I=6EI","√3E, √3I, √3×√3E×√3I=5.2EI",1,text,
46,"비돌극형 동기발전기 한 상의 단자전압을 V, 유도기전력을 E, 동기리액턴스를 X , 부하각이 δ이고, 전기자저항을 무시 s 할 때 한 상의 최대출력(W)은?",,,,,1,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q046.png
47,다음 중 비례추이를 하는 전동기는?,동기 전동기,정류자 전동기,단상 유도전동기,권선형 유도전동기,4,text,
48,"단자전압 200V, 계자저항 50Ω, 부하전류 50A, 전기자저항 0.15Ω, 전기자 반작용에 의한 전압강하 3V인 직류 분권발 전기가 정격속도로 회전하고 있다. 이때 발전기의 유도기전 력은 약 몇 V 인가?",211.1,215.1,225.1,230.1,1,text,
49,동기기의 권선법 중 기전력의 파형을 좋게 하는 권선법은?,"전절권, 2층권","단절권, 집중권","단절권, 분포권","전절권, 집중권",3,text,
50,변압기에 임피던스전압을 인가할 때의 입력은?,철손,와류손,정격용량,임피던스와트,4,text,
51,불꽃 없는 정류를 하기 위해 평균 리액턴스 전압(A)과 브러 시 접촉면 전압강하(B) 사이에 필요한 조건은?,A＞B,A＜B,A=B,"A, B에 관계없다.",2,text,
52,"유도전동기 1극의 자속을 , 2차 유효전류 I cosθ , 토",,,,,1,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q052.png
53,회전자가 슬립 s로 회전하고 있을 때 고정자와 회전자의 실 효 권수비를 α라고 하면 고정자 기전력 E 과 회전자 기전력,,,,,3,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q053.png
54,"직류 직권전동기의 발생 토크는 전기자 전류를 변화시킬 때 어떻게 변하는가? (단, 자기포화는 무시한다.)",전류에 비례한다.,전류에 반비례한다.,전류의 제곱에 비례한다.,전류의 제곱에 반비례한다.,3,text,
55,동기발전기의 병렬운전 중 유도기전력의 위상차로 인하여 발생하는 현상으로 옳은 것은?,무효전력이 생긴다.,동기화전류가 흐른다.,고조파 무효순환전류가 흐른다.,출력이 요동하고 권선이 가열된다.,2,text,
56,"3상 유도기의 기계적 출력(P )에 대한 변환식으로 옳은 것 o 은? (단, 2차 입력은 P , 2차 동손은 P , 동기속도는 N , 회",,,,,3,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q056.png
57,변압기의 등가회로 구성에 필요한 시험이 아닌 것은?,단락시험,부하시험,무부하시험,권선저항 측정,2,text,
58,단권변압기 두 대를 V결선하여 전압을 2000V에서 2200V로 승압한 후 200kVA의 3상 부하에 전력을 공급하려고 한다. 이때 단권변압기 1대의 용량은 약 몇 kVA 인가?,4.2,10.5,18.2,21,2,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q058.png
59,"권수비 a=6600/220, 주파수 60㎐, 변압기의 철심 단면적 0.02m2, 최대자속밀도 1.2㏝/m2일 때 변압기의 1차측 유도 기전력은 약 몇 V인가?",1407,3521,42198,49814,3,text,
60,회전형전동기와 선형전동기(Linear Motor)를 비교한 설명으 로 틀린 것은?,선형의 경우 회전형에 비해 공극의 크기가 작다.,선형의 경우 직접적으로 직선운동을 얻을 수 있다.,선형의 경우 회전형에 비해 부하관성의 영향이 크다.,선형의 경우 전원의 상 순서를 바꾸어 이동 방향을 변경 한다. 4과목 : 회로이론 및 제어공학,1,text,
61,의 역 z 변환은?,1 – e-at,1 + e-at,t • e-at,t • eat,1,text,
62,다음의 특성 방정식 중 안정한 제어시스템은?,s3+3s2+4s+5=0,s4+3s3-s2+s+10=0,s5+s3+2s2+4s+3=0,s4-2s3-3s2+4s+5=0,1,text,
63,그림의 신호흐름선도에서 전달함수 는?,,,,,4,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q063.png
64,그림과 같은 블록선도의 제어시스템에 단위계단 함수가 입 력되었을 때 정상상태 오차가 0.01이 되는 a의 값은?,0.2,0.6,0.8,1.0,1,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q064.png
65,그림과 같은 보드선도의 이득선도를 갖는 제어시스템의 전 달함수는?(문제 오류로 가답안 발표시 2번으로 발표되었지 만 확정답안 발표시 모두 정답처리 되었습니다. 여기서는 가답안인 2번을 누르면 정답 처리 됩니다.),,,,,2,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q065.png
66,그림과 같은 블록선도의 전달함수 는? 전기기사 2022년 03월 05일 필기 기출문제,,,,,4,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q066.png
67,그림과 같은 논리회로와 등가인 것은?,,,,,2,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q067.png
68,다음의 개루프 전달함수에 대한 근궤적의 점근선이 실수축 과 만나는 교차점은?,,,,,4,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q068.png
69,블록선도에서 ⓐ에 해당하는 신호는?,조작량,제어량,기준입력,동작신호,2,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q069.png
70,다음의 미분방정식과 같이 표현되는 제어시스템이 있다. 이 제어시스템을 상태방정식 로 나타내었을 때 시스템 행렬 A는?,,,,,1,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q070.png
71,f (t)가 우함수이고 f (t)가 기함수일 때 주기함수 f(t) = f (t) e o e + f (t)에 대한 다음 식 중 틀린 것은? o,,,,,4,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q071.png
72,"3상 평형회로에서 Y결선의 부하가 연결되어 있고, 부하에서 의 선간전압이 V = 100√3 ∠0°(V)일 때 선전류가 I = 20 ab a ∠-60°(A)이었다. 이 부하의 한 상의 임피던스(Ω)는? (단, 3 상 전압의 상순은 a-b-c이다.)",5∠30°,5√3∠30°,5∠60°,5√3∠60°,1,text,
73,"그림의 회로에서 120V와 30V의 전압원(능동소자)에서의 전 력은 각각 몇 W인가? (단, 전압원(능동소자)에서 공급 또는 발생하는 전력은 양수(+)이고, 소비 또는 흡수하는 전력은 음수(-)이다.) 전기기사 2022년 03월 05일 필기 기출문제","240W, 60W","240W, -60W","-240W, 60W","-240W, -60W",2,text,
74,"각 상의 전압이 다음과 같을 때 영상분 전압(V)의 순시치 는? (단, 3상 전압의 상순은 a-b-c이다.)",,,,,2,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q074.png
75,그림과 같이 3상 평형의 순저항 부하에 단상 전력계를 연결 하였을 때 전력계가 W(W)를 지시하였다. 이 3상 부하에서 소모하는 전체 전력(W)는?,2W,3W,√2W,√3W,1,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q075.png
76,"정전용량이 C(F)인 커패시터에 단위 임펄스의 전류원이 연 결되어 있다. 이 커패시터의 전압 v (t)는? (단, u(t)는 단위 C 계단함수이다.)",,,,,4,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q076.png
77,그림의 회로에서 t=0s에 스위치(S)를 닫은 후 t=1s일 때 이 회로에 흐르는 전류는 약 몇 A인가?,2.52,3.16,4.21,6.32,1,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q077.png
78,순시치 전류 i(t) = I sin(ωt+θ )A의 파고율은 약 얼마인가? m I,0.577,0.707,1.414,1.732,3,text,
79,"그림의 회로가 정저항 회로가 되기 위한 L(mH)은? (단, R=10Ω, C=1000㎌이다.)",1,10,100,1000,3,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q079.png
80,"분포정수 회로에 있어서 선로의 단위 길이당 저항이 100Ω /m, 인덕턴스가 200mH/m, 누설컨덕턴스가 0.5℧/m일 때 일그러짐이 없는 조건(무왜형 조건)을 만족하기 위한 단위 길이당 커패시턴스는 몇 ㎌/m인가?",0.001,0.1,10,1000 5과목 : 전기설비기술기준 및 판단기준,4,text,
