번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
43,다음 ( )에 알맞은 것은?,"ⓐ 분권, ⓑ 직권","ⓐ 직권, ⓑ 분권","ⓐ 복권, ⓑ 분권","ⓐ 자여자, ⓑ 타여자",1,text,
44,"1차 전압 6600V, 2차 전압 220V, 주파수 60Hz, 1차 권수 1200회인 경우 변압기의 최대 자속(Wb)은?",0.36,0.63,0.012,0.021,4,text,
45,직류발전기의 정류 초기에 전류변화가 크며 이때 발생되는 불꽃정류로 옳은 것은?,과정류,직선정류,부족정류,정현파정류,1,text,
46,3상 유도전동기의 속도제어법으로 틀린 것은?,1차 저항법,극수 제어법,전압 제어법,주파수 제어법,1,text,
47,60Hz 의 변압기에 50Hz 의 동일전압을 가했을 때의 자속밀 도는 60Hz 때와 비교하였을 경우 어떻게 되는가?,로 감소,으로 증가,로 감소,으로 증가,2,text,
48,2대의 변압기로 V결선하여 3상 변압하는 경우 변압기 이용 률은 약 몇 % 인가?,57.8,66.6,86.6,100 전기기사 2019년 03월 03일 필기 기출문제,3,text,
49,3상 유도전동기의 기동법 중 전전압 기동에 대한 설명으로 틀린 것은?,기동 시에 역률이 좋지 않다.,소용량으로 기동 시간이 길다.,소용량 농형 전동기의 기동법이다.,전동기 단자에 직접 정격전압을 가한다.,2,text,
50,동기발전기의 전기자 권선법 중 집중권인 경우 매극 매상의 홈(slot) 수는?,1개,2개,3개,4개,1,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q050.png
51,유도전동기의 속도제어를 인버터방식으로 사용하는 경우 1 차 주파수에 비례하여 1차 전압을 공급하는 이유는?,역률을 제어하기 위해,슬립을 증가시키기 위해,자속을 일정하게 하기 위해,발생토크를 증가시키기 위해,3,text,
52,3상 유도전압조정기의 원리를 응용한 것은?,3상 변압기,3상 유도전동기,3상 동기발전기,3상 교류자전동기,2,text,
53,정류회로에서 상의 수를 크게 했을 경우 옳은 것은?,맥동 주파수와 맥동률이 증가한다.,맥동률과 맥동 주파수가 감소한다.,맥동 주파수는 증가하고 맥동률은 감소한다.,맥동률과 주파수는 감소하나 출력이 증가한다.,3,text,
54,동기전동기의 위상특성곡선(V곡선)에 대한 설명으로 옳은 것은?,출력을 일정하게 유지할 때 부하전류와 전기자전류의 관 계를 나타낸 곡선,역률을 일정하게 유지할 때 계자전류와 전기자전류의 관 계를 나타낸 곡선,계자전류를 일정하게 유지할 때 전기자전류와 출력사이 의 관계를 나타낸 곡선,공급전압 V와 부하가 일정할 때 계자전류의 변화에 대한 전기자전류의 변화를 나타낸 곡선,4,text,
55,유도전동기의 기동 시 공급하는 전압을 단권변압기에 의해 서 일시 강하시켜서 기동전류를 제한하는 기동방법은?,Y-Δ기동,저항기동,직접기동,기동 보상기에 의한 기동,4,text,
56,"그림과 같은 회로에서 V(전원전압의 실효치)=100V, 점호각 a = 30°인 때의 부하 시의 직류전압 E (V)는 약 얼마인가? da (단, 전류가 연속하는 경우이다.)",90,86,77.9,100,3,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q056.png
57,직류 분권전동기가 전기자 전류 100A일 때 50kgㆍm의 토 크를 발생하고 있다. 부하가 증가하여 전기자 전류가 120A 로 되었다면 발생 토크(kg ㆍ m)는 얼마인가?,60,67,88,160,1,text,
58,비례추이와 관계있는 전동기로 옳은 것은?,동기전동기,농형 유도전동기,단상정류자전동기,권선형 유도전동기,4,text,
59,동기발전기의 단락비가 적을 때의 설명으로 옳은 것은?,동기 임피던스가 크고 전기자 반작용이 작다.,동기 임피던스가 크고 전기자 반작용이 크다.,동기 임피던스가 작고 전기자 반작용이 작다.,동기 임피던스가 작고 전기자 반작용이 크다.,2,text,
60,3/4 부하에서 효율이 최대인 주상변압기의 전부하 시 철손 과 동손의 비는?,8 : 4,4 : 4,9 : 16,16 : 9 4과목 : 회로이론 및 제어공학,3,text,
61,다음의 신호 흐름 선도를 메이슨의 공식을 이용하여 전달함 수를 구하고자 한다. 이 신호흐름 선도에서 루프(Loop)는 몇 개 인가?,0,1,2,3,3,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q061.png
62,특성 방정식 중에서 안정된 시스템인 것은?,2s3 + 3s2 + 4s + 5 = 0,s4 + 3s3 - s2 + s + 10 = 0,s5 + s3 + 2s2 + 4s + 3 = 0,s4 - 2s3 - 3s2 + 4s + 5 = 0,1,text,
63,"타이머에서 입력신호가 주어지면 바로 동작하고, 입력신호 가 차단된 후에는 일정시간이 지난 후에 출력이 소멸되는 동작형태는? 전기기사 2019년 03월 03일 필기 기출문제",한시동작 순시복귀,순시동작 순시복귀,한시동작 한시복귀,순시동작 한시복귀,4,text,
64,"단위궤환 제어시스템의 전향경로 전달함수가 일 때, 이 시스템이 안정하 기 위한 K의 범위는?",K ＜ -20,-20 ＜ K ＜ 0,0 ＜ K ＜ 20,20 ＜ K,3,text,
65,의 역변환은?,teaT,te-aT,1-e-aT,1+e-aT,3,text,
66,시간영역에서 자동제어계를 해석할 때 기본 시험입력에 보 통 사용되지 않는 입력은?,정속도 입력,정현파 입력,단위계단 입력,정가속도 입력,2,text,
67,에서 점근선의 교 차점을 구하면?,-1,0,1,2,3,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q067.png
68,n차 선형 시불변 시스템의 상태방정식을 로 표시할 때 상태천이 행렬 (n×n행렬)에 관하여 틀린 것은?,,,,는 시스템의 정상상태응답을 나타낸다.,4,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q068.png
69,다음의 신호 흐름 선도에서 C/R는?,,,,,1,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q069.png
70,PD 조절기와 전달함수 G(s)=1.2+0.02s 의 영점은?,-60,-50,50,60,1,text,
71,"e = 100√2sinωt + 75√2sin3ωt + 20√2sin5ωt(V) 인 전압을 RL직렬회로에 가할 때 제3고조파 전류의 실효값은 몇 A인 가? (단, R = 4Ω, ωL = 1Ω이다.)",15,15√2,20,20√2,1,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q071.png
72,"전원과 부하가 Δ결선된 3상 평형회로가 있다. 전원전압이 200V, 부하 1상의 임피던스가 6+j8(Ω) 일 때 선전류(A)는?",20,20√3,20 / √3,√3 / 20,2,text,
73,분포정수 선로에서 무왜형 조건이 성립하면 어떻게 되는가?,감쇠량이 최소로 된다.,전파속도가 최대로 된다.,감쇠량은 주파수에 비례한다.,위상정수가 주파수에 관계없이 일정하다.,1,text,
74,"회로에서 V = 10V, R = 10Ω, L =1H, C = 10μF 그리고 V (0) = 0 일 때 스위치 K를 닫은 직후 전류의 변화율 C 의 값(A/sec)은?",0,1,5,10,4,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q074.png
75,일 때 f(t)의 최종값은?,2,3,5,15,3,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q075.png
76,대칭 5상 교류 성형결선에서 선간전압과 상전압 간의 위상 차는 몇 도인가?,27°,36°,54°,72°,3,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q076.png
77,정현파 교류 V = V sinωt 의 전압을 반파정류하였을 때의 m 실효값은 몇 V인가? 전기기사 2019년 03월 03일 필기 기출문제,V / √2,V / 2 m m,V / 2√2,√2V m m,2,text,
78,"회로망 출력단자 a-b에서 바라본 등가 임피던스는? (단, V =6V, V =3V, I =10A, R =15Ω, R =10Ω, L=2H, jω=s 이",,,,,2,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q078.png
79,"대칭 상 전압이 a상 V , b상 V =a2V , c상 V =aV 일 때 a상 a b a c a 을 기준으로 한 대칭분 전압 중 정상분 V (V) 은 어떻게 표",,,,,2,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q079.png
80,다음과 같은 비정현파 기전력 및 전류에 의한 평균전력을 구하면 몇 W 인가?,825,875,925,1175 5과목 : 전기설비기술기준 및 판단기준,2,text,
