번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
45,어떤 정류기의 부하 전압이 2000[V]이고 맥동률이 3[%]이 면 교류분의 진폭[V]은?,20,30,50,60,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q045.png
46,"3상 3300[V], 100[kVA]의 동기발전기의 정격전류는 약 몇 [A]인가?",17.5,25,30.3,33.3,1,text,
47,"4극 3상 유도전동기가 있다. 전원전압 200[V]로 전부하를 걸었을 때 전류는 21.5[A]이다. 이 전동기의 출력은 약 몇 [W]인가? 단, 전부하 역률 86[%], 효율 85[%]이다.",5029,5444,5820,6103,2,text,
48,"변압비 3000/100[V]인 단상변압기 2대의 고압측을 그림과 같이 직렬로 3300[V] 전원에 연결하고, 저압측에 각각 5 [Ω], 7[Ω]의 저항을 접속하였을 때, 고압측의 단자전압 E",,,,,3,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q048.png
49,교류기에서 유기기전력의 특정 고조파분을 제거하고 또 권 선을 절약하기 위하여 자주 사용되는 권선법은?,전절권,분포권,집중권,단절권,4,text,
50,12극의 3상 동기발전기가 있다. 기계각 15°에 대응하는 전 기각은?,30,45,60,90,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q050.png
51,"4극, 60[Hz]의 유도전동기가 슬립 5[%]로 전부하 운전 하 고 있을 때 2차 권선의 손실이 94.25[W]라고 하면 토크는 약 몇 [Nㆍm]인가?",1.02,2.04,10.0,20.0,3,text,
52,단상 변압기에 정현파 유기기전력을 유기하기 위한 여자전 류의 파형은?,정현파,삼각파,왜형파,구형파,3,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q052.png
53,회전형전동기와 선형전동기(Linear Motor)를 비교한 설명 중 틀린 것은?,선형의 경우 회전형에 비해 공극의 크기가 작다.,선형의 경우 직접적으로 직선운동을 얻을 수 있다.,선형의 경우 회전형에 비해 부하관성의 영향이 크다.,선형의 경우 전원의 상 순서를 바꾸어 이동방향을 변경 한다.,1,text,
54,변압기의 전일 효율이 최대가 되는 조건은?,하루 중의 무부하손의 합 = 하루중의 부하손의 합,하루 중의 무부하손의 합 <하루 중의 부하손의 합,하루 중의 무부하손의 합 >하루 중의 부하손의 합,하루 중의 무부하손의 합 = 2×하루 중의 부하손의 합,1,text,
55,"유도전동기를 정격상태로 사용 중, 전압이 10[%] 상승하면 다음과 같은 특성의 변화가 있다. 틀린 것은? 단, 부하는 일 정 토크라고 가정한다. (문제 오류로 실제 시험에서는 2, 3 번이 정답처리 되었습니다. 여기서는 2번을 누르면 정답 처 리 됩니다.)",슬립이 작아진다.,효율이 떨어진다.,속도가 감소한다.,히스테리시스손과 와류손이 증가한다.,2,text,
56,대칭 3상 권선에 평형 3상 교류가 흐르는 경우 회전자계의 설명으로 틀린 것은?,발생 회전 자계 방향 변경 가능,발전 회전 자계는 전류와 같은 주기,발생 회전 자계 속도는 동기 속도보다 늦음,발생 회전 자계 세기는 각 코일 최대 자계의 1.5배,3,text,
57,직류기 권선법에 대한 설명 중 틀린 것은?,단중 파권은 균압환이 필요하다. 전기기사 2016년 03월 06일 필기 기출문제,단중 중권의 병렬회로 수는 극수와 같다.,저전류ㆍ고전압 출력은 파권이 유리하다.,단중 파권의 유기전압은 단중 중권의 이다.,1,text,
58,스테핑 모터의 일반적인 특징으로 틀린 것은?,기동ㆍ정지 특성은 나쁘다.,회전각은 입력펄스 수에 비례한다.,회전속도는 입력펄스 주파수에 비례한다.,"고속 응답이 좋고, 고출력의 운전이 가능하다.",1,text,
59,철손 1.6[kW] 전부하동손 2.4[kW]인 변압기에는 약 몇 [%] 부하에서 효율이 최대로 되는가?,82,95,97,100,1,text,
60,동기 발전기의 제동권선의 주요 작용은?,제동작용,난조방지작용,시동권선작용,자려작용(自勵作用) 4과목 : 회로이론 및 제어공학,2,text,
61,제어오차가 검출될 때 오차가 변화하는 속도에 비례하여 조 작량을 조절하는 동작으로 오차가 커지는 것을 사전에 방지 하는 제어 동작은?,미분동작제어,비례동작제어,적분동작제어,온-오프(ON-OFF)제어,1,text,
62,다음과 같은 상태방정식으로 표현되는 제어계에 대한 설명 으로 틀린 것은?,2차 제어계이다.,x는 (2×1)의 벡터이다.,특성방정식은 이다.,제어계는 부족제동(under damped)된 상태에 있다.,4,text,
63,벡터 궤적이 다음과 같이 표시되는 요소는?,비례요소,1차 지연요소,2차 지연요소,부동작 시간요소,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q063.png
64,"그림과 같은 이산치계의 z변환 전달함수 를 구하면? 단, 임",,,,,2,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q064.png
65,다음의 논리 회로를 간단히 하면?,,,,,2,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q065.png
66,그림과 같은 신호흐름 선도에서 의 값은?,,,,,1,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q066.png
67,단위계단 입력에 대한 응답특성이 로 나 타나는 제어계는?,비례제어계,적분제어계,1차지연제어계,2차지연제어계,3,text,
68,에서 근궤적의 수는?,1,2,3,4,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q068.png
69,주파수 응답에 의한 위치제어계의 설계에서 계통의 안정도 척도와 관계가 적은 것은?,공진치,위상여유,이득여유,고유주파수,4,text,
70,"나이퀴스트(Nyquist) 선도에서의 임계점 (-1, j0)에 대응하는 전기기사 2016년 03월 06일 필기 기출문제 보드선도에서의 이득과 위상은?","1 dB, 0°","0 dB, -90°","0 dB, 90°","0 dB, -180°",4,text,
71,평형 3상 △결선 회로에서 선간전(E ) 과 상전압(E ) 의 관 i p 계로 옳은 것은?,,,,,3,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q071.png
72,정격전압에서 1[kW]의 전력을 소비하는 저항에 정격의 80[%] 전압을 가할 때의 전력[W]은?,320,540,640,860,3,text,
73,그림에서 t =0에서 스위치 S를 닫았다. 콘덴서에 충전된 초 기전압 V (0)가 1[V] 이었다면 전류 i(t)를 변환한 값 I(s) c 는?,,,,,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q073.png
74,그림과 같은 회로에서 i 는 몇 [A] 인가? x,3.2,2.6,2.0,1.4,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q074.png
75,그림과 같이 전압 V와 저항 R로 구성되는 회로 단자 A-B간 에 적당한 저항 R 을 접속하여 R 에서 소비되는 전력을 최 L L 대로 하게 했다. 이 때 R 에서 소비되는 전력 P는? L,,,,,1,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q075.png
76,다음의 T형 4단자망 회로에서 ABCD 파라미터 사이의 성질 중 성립되는 대칭조건은?,A = D,A = C,B = C,B =A,1,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q076.png
77,"분포정수 회로에서 선로의 특성임피던스를 Z0, 전파정수를 r 할 때 무한장 선로에 있어서 송전단에서 본 직렬임피던스 는?",,,,,3,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q077.png
78,"그림의 RLC 직병렬회로를 등가 병렬회로로 바꿀 경우, 저항 과 리액턴스는 각각 몇 [Ω]인가?","46.23, j87.67","46.23, j107.15","31.25, j87.67","31.25, j107.15",4,text,
79,일 때 f(t)의 정상값은?,5,3,1,0,2,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q079.png
80,"선간전압이 200[V], 선전류가 10√3[A], 부하역률이 80[%] 인 평형 3상 회로의 무효전력[Var]은?",3600,3000,2400,1800 5과목 : 전기설비기술기준 및 판단기준,1,text,
